user_id,entry_date,segment,device,region,age_group,period,month,stage1_date,stage2_date,stage3_date,stage4_date,stage5_date,conversion_date,converted,exit_stage,reached_stage2,reached_stage3,reached_stage4,reached_stage5
U001046,2024-03-08,Email,Mobile,South,45-54,Pre-Intervention,2024-03,2024-03-08,2024-03-10,2024-03-13,2024-03-14,2024-03-18,,0,Stage5,1,1,1,1
U001047,2024-04-02,Social,Desktop,South,18-24,Post-Intervention,2024-04,2024-04-02,2024-04-02,2024-04-03,,,,0,Stage3,1,1,0,0
U001048,2024-05-10,Referral,Desktop,South,55+,Post-Intervention,2024-05,2024-05-10,2024-05-11,2024-05-12,2024-05-12,2024-05-13,2024-05-13,1,Converted,1,1,1,1
U001049,2024-06-09,Paid_Search,Desktop,North,18-24,Post-Intervention,2024-06,2024-06-09,2024-06-09,2024-06-12,,,,0,Stage3,1,1,0,0
U001050,2024-04-18,Referral,Mobile,North,25-34,Post-Intervention,2024-04,2024-04-18,2024-04-20,2024-04-21,2024-04-22,2024-04-26,2024-04-28,1,Converted,1,1,1,1
U001051,2024-04-29,Referral,Mobile,South,35-44,Post-Intervention,2024-04,2024-04-29,2024-05-01,,,,,0,Stage2,1,0,0,0
U001052,2024-03-05,Referral,Mobile,North,35-44,Pre-Intervention,2024-03,2024-03-05,2024-03-07,,,,,0,Stage2,1,0,0,0
U001053,2024-01-03,Email,Desktop,South,35-44,Pre-Intervention,2024-01,2024-01-03,2024-01-05,2024-01-08,,,,0,Stage3,1,1,0,0
U001054,2024-01-30,Paid_Search,Tablet,Central,18-24,Pre-Intervention,2024-01,2024-01-30,2024-02-01,2024-02-04,2024-02-05,2024-02-08,2024-02-08,1,Converted,1,1,1,1
U001055,2024-03-16,Organic,Mobile,Central,18-24,Pre-Intervention,2024-03,2024-03-16,,,,,,0,Stage1,0,0,0,0
U001056,2024-04-21,Organic,Mobile,West,35-44,Post-Intervention,2024-04,2024-04-21,,,,,,0,Stage1,0,0,0,0
U001057,2024-02-10,Referral,Desktop,South,18-24,Pre-Intervention,2024-02,2024-02-10,2024-02-11,,,,,0,Stage2,1,0,0,0
U001058,2024-01-01,Email,Mobile,South,45-54,Pre-Intervention,2024-01,2024-01-01,2024-01-03,,,,,0,Stage2,1,0,0,0
U001059,2024-03-08,Social,Mobile,West,45-54,Pre-Intervention,2024-03,2024-03-08,2024-03-10,,,,,0,Stage2,1,0,0,0
U001060,2024-02-15,Paid_Search,Desktop,South,45-54,Pre-Intervention,2024-02,2024-02-15,2024-02-17,2024-02-18,,,,0,Stage3,1,1,0,0
U001061,2024-06-09,Organic,Mobile,Central,55+,Post-Intervention,2024-06,2024-06-09,2024-06-10,,,,,0,Stage2,1,0,0,0
U001062,2024-06-12,Paid_Search,Mobile,South,35-44,Post-Intervention,2024-06,2024-06-12,,,,,,0,Stage1,0,0,0,0
U001063,2024-05-09,Social,Desktop,North,25-34,Post-Intervention,2024-05,2024-05-09,2024-05-11,,,,,0,Stage2,1,0,0,0
U001064,2024-02-20,Paid_Search,Desktop,South,18-24,Pre-Intervention,2024-02,2024-02-20,2024-02-20,,,,,0,Stage2,1,0,0,0
U001065,2024-04-05,Referral,Mobile,North,35-44,Post-Intervention,2024-04,2024-04-05,2024-04-05,,,,,0,Stage2,1,0,0,0
U001066,2024-05-18,Referral,Mobile,North,55+,Post-Intervention,2024-05,2024-05-18,2024-05-20,2024-05-21,,,,0,Stage3,1,1,0,0
U001067,2024-06-02,Email,Tablet,West,25-34,Post-Intervention,2024-06,2024-06-02,2024-06-03,,,,,0,Stage2,1,0,0,0
U001068,2024-05-05,Referral,Mobile,Central,18-24,Post-Intervention,2024-05,2024-05-05,2024-05-05,2024-05-06,2024-05-07,2024-05-10,2024-05-10,1,Converted,1,1,1,1
U001069,2024-01-15,Organic,Desktop,West,35-44,Pre-Intervention,2024-01,2024-01-15,,,,,,0,Stage1,0,0,0,0
U001070,2024-03-02,Paid_Search,Mobile,Central,25-34,Pre-Intervention,2024-03,2024-03-02,,,,,,0,Stage1,0,0,0,0
U001071,2024-05-25,Organic,Tablet,North,45-54,Post-Intervention,2024-05,2024-05-25,2024-05-25,,,,,0,Stage2,1,0,0,0
U001072,2024-01-22,Organic,Desktop,Central,35-44,Pre-Intervention,2024-01,2024-01-22,2024-01-24,,,,,0,Stage2,1,0,0,0
U001073,2024-05-04,Paid_Search,Desktop,East,55+,Post-Intervention,2024-05,2024-05-04,2024-05-04,2024-05-07,,,,0,Stage3,1,1,0,0
U001074,2024-02-02,Social,Mobile,East,25-34,Pre-Intervention,2024-02,2024-02-02,2024-02-02,,,,,0,Stage2,1,0,0,0
U001075,2024-06-17,Paid_Search,Desktop,North,55+,Post-Intervention,2024-06,2024-06-17,,,,,,0,Stage1,0,0,0,0
U001076,2024-05-01,Referral,Mobile,South,45-54,Post-Intervention,2024-05,2024-05-01,2024-05-03,2024-05-04,,,,0,Stage3,1,1,0,0
U001077,2024-03-08,Social,Tablet,West,35-44,Pre-Intervention,2024-03,2024-03-08,2024-03-10,,,,,0,Stage2,1,0,0,0
U001078,2024-06-04,Social,Mobile,North,25-34,Post-Intervention,2024-06,2024-06-04,,,,,,0,Stage1,0,0,0,0
U001079,2024-04-18,Email,Mobile,East,25-34,Post-Intervention,2024-04,2024-04-18,,,,,,0,Stage1,0,0,0,0
U001080,2024-02-24,Social,Desktop,East,25-34,Pre-Intervention,2024-02,2024-02-24,2024-02-26,2024-02-29,,,,0,Stage3,1,1,0,0
U001081,2024-06-25,Social,Tablet,Central,35-44,Post-Intervention,2024-06,2024-06-25,,,,,,0,Stage1,0,0,0,0
U001082,2024-02-21,Email,Desktop,South,25-34,Pre-Intervention,2024-02,2024-02-21,2024-02-23,,,,,0,Stage2,1,0,0,0
U001083,2024-03-20,Referral,Mobile,West,35-44,Pre-Intervention,2024-03,2024-03-20,2024-03-21,2024-03-24,,,,0,Stage3,1,1,0,0
U001084,2024-06-15,Paid_Search,Desktop,East,45-54,Post-Intervention,2024-06,2024-06-15,2024-06-16,,,,,0,Stage2,1,0,0,0
U001085,2024-04-22,Social,Mobile,North,18-24,Post-Intervention,2024-04,2024-04-22,,,,,,0,Stage1,0,0,0,0
U001086,2024-05-12,Referral,Desktop,North,18-24,Post-Intervention,2024-05,2024-05-12,2024-05-13,2024-05-14,2024-05-14,2024-05-16,2024-05-16,1,Converted,1,1,1,1
U001087,2024-03-27,Email,Mobile,East,45-54,Pre-Intervention,2024-03,2024-03-27,2024-03-27,,,,,0,Stage2,1,0,0,0
U001088,2024-05-30,Social,Tablet,North,55+,Post-Intervention,2024-05,2024-05-30,2024-06-01,2024-06-02,2024-06-04,,,0,Stage4,1,1,1,0
U001089,2024-02-26,Paid_Search,Mobile,West,25-34,Pre-Intervention,2024-02,2024-02-26,2024-02-26,2024-02-27,2024-02-29,2024-03-01,2024-03-01,1,Converted,1,1,1,1
U001090,2024-01-18,Referral,Mobile,South,45-54,Pre-Intervention,2024-01,2024-01-18,2024-01-18,,,,,0,Stage2,1,0,0,0
U001091,2024-03-25,Organic,Mobile,North,18-24,Pre-Intervention,2024-03,2024-03-25,2024-03-25,2024-03-28,2024-03-28,2024-03-31,2024-04-02,1,Converted,1,1,1,1
U001092,2024-05-04,Organic,Mobile,East,35-44,Post-Intervention,2024-05,2024-05-04,2024-05-04,,,,,0,Stage2,1,0,0,0
U001093,2024-05-18,Referral,Mobile,Central,55+,Post-Intervention,2024-05,2024-05-18,2024-05-18,2024-05-21,,,,0,Stage3,1,1,0,0
U001094,2024-05-26,Referral,Mobile,North,25-34,Post-Intervention,2024-05,2024-05-26,2024-05-28,,,,,0,Stage2,1,0,0,0
U001095,2024-05-01,Paid_Search,Mobile,West,18-24,Post-Intervention,2024-05,2024-05-01,2024-05-01,,,,,0,Stage2,1,0,0,0
U001096,2024-05-01,Social,Mobile,East,18-24,Post-Intervention,2024-05,2024-05-01,2024-05-02,,,,,0,Stage2,1,0,0,0
U001097,2024-02-18,Organic,Mobile,South,18-24,Pre-Intervention,2024-02,2024-02-18,2024-02-18,2024-02-19,2024-02-21,2024-02-25,,0,Stage5,1,1,1,1
U001098,2024-03-31,Referral,Desktop,West,25-34,Pre-Intervention,2024-03,2024-03-31,2024-04-01,2024-04-03,,,,0,Stage3,1,1,0,0
U001099,2024-04-29,Referral,Mobile,North,25-34,Post-Intervention,2024-04,2024-04-29,2024-05-01,,,,,0,Stage2,1,0,0,0
U001100,2024-01-14,Referral,Mobile,Central,35-44,Pre-Intervention,2024-01,2024-01-14,2024-01-16,2024-01-19,2024-01-21,2024-01-22,2024-01-22,1,Converted,1,1,1,1
U001101,2024-04-13,Organic,Mobile,North,45-54,Post-Intervention,2024-04,2024-04-13,2024-04-15,2024-04-17,2024-04-17,,,0,Stage4,1,1,1,0
U001102,2024-03-04,Organic,Mobile,Central,45-54,Pre-Intervention,2024-03,2024-03-04,,,,,,0,Stage1,0,0,0,0
U001103,2024-02-19,Organic,Mobile,West,55+,Pre-Intervention,2024-02,2024-02-19,2024-02-19,,,,,0,Stage2,1,0,0,0
U001104,2024-05-17,Organic,Desktop,North,25-34,Post-Intervention,2024-05,2024-05-17,2024-05-18,2024-05-19,2024-05-20,2024-05-22,2024-05-23,1,Converted,1,1,1,1
U001105,2024-04-28,Organic,Desktop,North,25-34,Post-Intervention,2024-04,2024-04-28,2024-04-28,2024-04-29,2024-04-30,2024-05-01,2024-05-01,1,Converted,1,1,1,1
U001106,2024-06-15,Email,Mobile,West,25-34,Post-Intervention,2024-06,2024-06-15,,,,,,0,Stage1,0,0,0,0
U001107,2024-05-18,Social,Desktop,East,25-34,Post-Intervention,2024-05,2024-05-18,2024-05-18,,,,,0,Stage2,1,0,0,0
U001108,2024-01-24,Social,Tablet,North,35-44,Pre-Intervention,2024-01,2024-01-24,,,,,,0,Stage1,0,0,0,0
U001109,2024-03-01,Organic,Mobile,West,35-44,Pre-Intervention,2024-03,2024-03-01,,,,,,0,Stage1,0,0,0,0
U001110,2024-02-12,Organic,Desktop,North,18-24,Pre-Intervention,2024-02,2024-02-12,2024-02-13,,,,,0,Stage2,1,0,0,0
U001111,2024-05-04,Referral,Mobile,South,45-54,Post-Intervention,2024-05,2024-05-04,2024-05-05,,,,,0,Stage2,1,0,0,0
U001112,2024-02-24,Paid_Search,Mobile,East,25-34,Pre-Intervention,2024-02,2024-02-24,,,,,,0,Stage1,0,0,0,0
U001113,2024-04-12,Paid_Search,Mobile,Central,25-34,Post-Intervention,2024-04,2024-04-12,2024-04-12,,,,,0,Stage2,1,0,0,0
U001114,2024-02-12,Referral,Mobile,Central,35-44,Pre-Intervention,2024-02,2024-02-12,2024-02-13,2024-02-14,,,,0,Stage3,1,1,0,0
U001115,2024-04-09,Referral,Mobile,Central,45-54,Post-Intervention,2024-04,2024-04-09,2024-04-10,2024-04-12,2024-04-13,,,0,Stage4,1,1,1,0
U001116,2024-04-18,Organic,Desktop,West,45-54,Post-Intervention,2024-04,2024-04-18,2024-04-20,,,,,0,Stage2,1,0,0,0
U001117,2024-05-22,Organic,Desktop,North,25-34,Post-Intervention,2024-05,2024-05-22,,,,,,0,Stage1,0,0,0,0
U001118,2024-06-18,Organic,Mobile,West,35-44,Post-Intervention,2024-06,2024-06-18,2024-06-20,,,,,0,Stage2,1,0,0,0
U001119,2024-05-04,Paid_Search,Mobile,South,18-24,Post-Intervention,2024-05,2024-05-04,,,,,,0,Stage1,0,0,0,0
U001120,2024-02-09,Referral,Mobile,East,55+,Pre-Intervention,2024-02,2024-02-09,2024-02-09,,,,,0,Stage2,1,0,0,0
U001121,2024-03-16,Paid_Search,Desktop,North,45-54,Pre-Intervention,2024-03,2024-03-16,,,,,,0,Stage1,0,0,0,0
U001122,2024-02-25,Referral,Desktop,Central,35-44,Pre-Intervention,2024-02,2024-02-25,2024-02-25,2024-02-28,,,,0,Stage3,1,1,0,0
U001123,2024-05-18,Paid_Search,Desktop,Central,55+,Post-Intervention,2024-05,2024-05-18,2024-05-18,2024-05-21,,,,0,Stage3,1,1,0,0
U001124,2024-03-21,Social,Mobile,Central,45-54,Pre-Intervention,2024-03,2024-03-21,2024-03-21,,,,,0,Stage2,1,0,0,0
U001125,2024-01-13,Paid_Search,Mobile,South,45-54,Pre-Intervention,2024-01,2024-01-13,2024-01-15,2024-01-17,,,,0,Stage3,1,1,0,0
U001126,2024-05-08,Paid_Search,Desktop,South,25-34,Post-Intervention,2024-05,2024-05-08,,,,,,0,Stage1,0,0,0,0
U001127,2024-05-15,Paid_Search,Mobile,East,18-24,Post-Intervention,2024-05,2024-05-15,2024-05-15,,,,,0,Stage2,1,0,0,0
U001128,2024-01-15,Paid_Search,Desktop,South,35-44,Pre-Intervention,2024-01,2024-01-15,2024-01-17,2024-01-18,,,,0,Stage3,1,1,0,0
U001129,2024-02-17,Organic,Tablet,North,25-34,Pre-Intervention,2024-02,2024-02-17,2024-02-17,,,,,0,Stage2,1,0,0,0
U001130,2024-06-01,Paid_Search,Desktop,North,35-44,Post-Intervention,2024-06,2024-06-01,2024-06-01,,,,,0,Stage2,1,0,0,0
U001131,2024-06-21,Organic,Mobile,North,25-34,Post-Intervention,2024-06,2024-06-21,2024-06-21,2024-06-23,,,,0,Stage3,1,1,0,0
U001132,2024-01-31,Paid_Search,Mobile,East,25-34,Pre-Intervention,2024-01,2024-01-31,2024-02-02,2024-02-03,2024-02-05,,,0,Stage4,1,1,1,0
U001133,2024-06-01,Email,Mobile,South,35-44,Post-Intervention,2024-06,2024-06-01,2024-06-01,2024-06-04,2024-06-04,,,0,Stage4,1,1,1,0
U001134,2024-04-17,Referral,Mobile,South,25-34,Post-Intervention,2024-04,2024-04-17,2024-04-19,2024-04-22,2024-04-24,,,0,Stage4,1,1,1,0
U001135,2024-05-13,Organic,Desktop,South,18-24,Post-Intervention,2024-05,2024-05-13,2024-05-14,,,,,0,Stage2,1,0,0,0
U001136,2024-03-07,Social,Desktop,South,35-44,Pre-Intervention,2024-03,2024-03-07,2024-03-07,2024-03-10,,,,0,Stage3,1,1,0,0
U001137,2024-03-21,Organic,Mobile,North,18-24,Pre-Intervention,2024-03,2024-03-21,2024-03-21,,,,,0,Stage2,1,0,0,0
U001138,2024-03-08,Paid_Search,Desktop,West,25-34,Pre-Intervention,2024-03,2024-03-08,2024-03-09,2024-03-10,,,,0,Stage3,1,1,0,0
U001139,2024-06-20,Organic,Desktop,South,35-44,Post-Intervention,2024-06,2024-06-20,2024-06-22,2024-06-24,,,,0,Stage3,1,1,0,0
U001140,2024-04-27,Social,Mobile,Central,25-34,Post-Intervention,2024-04,2024-04-27,,,,,,0,Stage1,0,0,0,0
U001141,2024-03-21,Social,Mobile,North,25-34,Pre-Intervention,2024-03,2024-03-21,,,,,,0,Stage1,0,0,0,0
U001142,2024-01-19,Referral,Mobile,North,45-54,Pre-Intervention,2024-01,2024-01-19,,,,,,0,Stage1,0,0,0,0
U001143,2024-01-03,Paid_Search,Mobile,South,18-24,Pre-Intervention,2024-01,2024-01-03,,,,,,0,Stage1,0,0,0,0
U001144,2024-04-27,Organic,Desktop,South,35-44,Post-Intervention,2024-04,2024-04-27,2024-04-29,,,,,0,Stage2,1,0,0,0
U001145,2024-05-24,Organic,Mobile,North,55+,Post-Intervention,2024-05,2024-05-24,,,,,,0,Stage1,0,0,0,0
U001146,2024-01-26,Referral,Desktop,West,18-24,Pre-Intervention,2024-01,2024-01-26,,,,,,0,Stage1,0,0,0,0
U001147,2024-01-19,Paid_Search,Mobile,East,18-24,Pre-Intervention,2024-01,2024-01-19,2024-01-21,,,,,0,Stage2,1,0,0,0
U001148,2024-02-24,Organic,Desktop,South,25-34,Pre-Intervention,2024-02,2024-02-24,2024-02-26,2024-02-28,,,,0,Stage3,1,1,0,0
U001149,2024-02-03,Organic,Desktop,East,35-44,Pre-Intervention,2024-02,2024-02-03,,,,,,0,Stage1,0,0,0,0
U001150,2024-03-30,Referral,Mobile,North,25-34,Pre-Intervention,2024-03,2024-03-30,2024-03-30,2024-03-31,,,,0,Stage3,1,1,0,0
U001151,2024-04-04,Referral,Mobile,West,18-24,Post-Intervention,2024-04,2024-04-04,2024-04-05,,,,,0,Stage2,1,0,0,0
U001152,2024-02-10,Paid_Search,Desktop,East,25-34,Pre-Intervention,2024-02,2024-02-10,,,,,,0,Stage1,0,0,0,0
U001153,2024-04-22,Social,Desktop,South,35-44,Post-Intervention,2024-04,2024-04-22,2024-04-24,2024-04-27,,,,0,Stage3,1,1,0,0
U001154,2024-03-18,Organic,Tablet,East,18-24,Pre-Intervention,2024-03,2024-03-18,2024-03-20,,,,,0,Stage2,1,0,0,0
U001155,2024-06-16,Referral,Desktop,West,35-44,Post-Intervention,2024-06,2024-06-16,,,,,,0,Stage1,0,0,0,0
U001156,2024-05-15,Organic,Mobile,South,55+,Post-Intervention,2024-05,2024-05-15,,,,,,0,Stage1,0,0,0,0
U001157,2024-01-03,Organic,Desktop,Central,18-24,Pre-Intervention,2024-01,2024-01-03,2024-01-05,,,,,0,Stage2,1,0,0,0
U001158,2024-05-21,Organic,Desktop,South,55+,Post-Intervention,2024-05,2024-05-21,,,,,,0,Stage1,0,0,0,0
U001159,2024-03-17,Email,Mobile,Central,45-54,Pre-Intervention,2024-03,2024-03-17,2024-03-19,,,,,0,Stage2,1,0,0,0
U001160,2024-01-27,Organic,Desktop,South,18-24,Pre-Intervention,2024-01,2024-01-27,2024-01-27,,,,,0,Stage2,1,0,0,0
U001161,2024-03-08,Paid_Search,Desktop,North,25-34,Pre-Intervention,2024-03,2024-03-08,2024-03-08,,,,,0,Stage2,1,0,0,0
U001162,2024-01-28,Paid_Search,Desktop,Central,35-44,Pre-Intervention,2024-01,2024-01-28,2024-01-30,2024-02-02,,,,0,Stage3,1,1,0,0
U001163,2024-02-09,Organic,Desktop,East,55+,Pre-Intervention,2024-02,2024-02-09,,,,,,0,Stage1,0,0,0,0
U001164,2024-03-10,Email,Mobile,West,25-34,Pre-Intervention,2024-03,2024-03-10,2024-03-11,,,,,0,Stage2,1,0,0,0
U001165,2024-06-03,Social,Tablet,West,25-34,Post-Intervention,2024-06,2024-06-03,2024-06-03,,,,,0,Stage2,1,0,0,0
U001166,2024-03-28,Organic,Mobile,South,25-34,Pre-Intervention,2024-03,2024-03-28,2024-03-28,2024-03-31,2024-04-02,2024-04-05,,0,Stage5,1,1,1,1
U001167,2024-05-09,Paid_Search,Mobile,West,25-34,Post-Intervention,2024-05,2024-05-09,,,,,,0,Stage1,0,0,0,0
U001168,2024-05-05,Social,Mobile,South,45-54,Post-Intervention,2024-05,2024-05-05,,,,,,0,Stage1,0,0,0,0
U001169,2024-03-05,Paid_Search,Desktop,North,55+,Pre-Intervention,2024-03,2024-03-05,2024-03-05,,,,,0,Stage2,1,0,0,0
U001170,2024-01-24,Referral,Desktop,East,25-34,Pre-Intervention,2024-01,2024-01-24,2024-01-26,2024-01-28,2024-01-29,,,0,Stage4,1,1,1,0
U001171,2024-01-12,Paid_Search,Mobile,Central,45-54,Pre-Intervention,2024-01,2024-01-12,,,,,,0,Stage1,0,0,0,0
U001172,2024-01-01,Email,Mobile,South,45-54,Pre-Intervention,2024-01,2024-01-01,,,,,,0,Stage1,0,0,0,0
U001173,2024-03-26,Organic,Desktop,South,25-34,Pre-Intervention,2024-03,2024-03-26,2024-03-26,,,,,0,Stage2,1,0,0,0
U001174,2024-06-12,Referral,Mobile,Central,25-34,Post-Intervention,2024-06,2024-06-12,2024-06-13,,,,,0,Stage2,1,0,0,0
U001175,2024-02-11,Email,Desktop,West,35-44,Pre-Intervention,2024-02,2024-02-11,2024-02-13,2024-02-15,2024-02-17,2024-02-21,2024-02-23,1,Converted,1,1,1,1
U001176,2024-01-03,Referral,Mobile,North,25-34,Pre-Intervention,2024-01,2024-01-03,2024-01-03,2024-01-04,,,,0,Stage3,1,1,0,0
U001177,2024-06-25,Paid_Search,Mobile,East,45-54,Post-Intervention,2024-06,2024-06-25,2024-06-25,,,,,0,Stage2,1,0,0,0
U001178,2024-05-19,Referral,Mobile,Central,45-54,Post-Intervention,2024-05,2024-05-19,2024-05-19,,,,,0,Stage2,1,0,0,0
U001179,2024-04-04,Social,Desktop,Central,35-44,Post-Intervention,2024-04,2024-04-04,,,,,,0,Stage1,0,0,0,0
U001180,2024-05-29,Referral,Desktop,North,45-54,Post-Intervention,2024-05,2024-05-29,,,,,,0,Stage1,0,0,0,0
