finance_id,model_id,year,country,units_sold,total_revenue,profit,min_price,max_price,revenue_per_unit,average_profit_margin_pct,tax_rate_pct,import_duty_usd,local_manufacturing_cost_usd,marketing_expense_usd,r_and_d_expense_usd,warranty_cost_usd,dealer_commission_pct,currency,exchange_rate_to_usd,net_profit_usd,gross_margin_usd,operating_expense_usd,net_revenue_usd,tax_paid_usd,interest_expense_usd,cash_flow_usd,capital_expenditure_usd,depreciation_usd,amortization_usd,ebitda_usd,ebit_usd,net_income_usd,dividend_usd,shares_outstanding
11,TataModel_1,2015,USA,1443,12848460.14,3075921.36,8557.93,52499.19,8903.99,23.94,15.71,695.89,14030.99,11500.75,7161.00,3728.49,5.75,AUD,1.39,1057428.27,12833733.26,76597.02,12771863.12,2018493.09,12025.57,51035.34,55104.33,1350.43,4442.30,12777655.85,12765630.28,10747137.19,3208.73,3977540.00
12,TataModel_1,2016,USA,6329,202601219.36,54114785.69,12723.09,39779.88,32011.57,26.71,13.97,1053.43,15839.14,10964.05,7705.74,655.94,5.37,AUD,0.92,25811395.35,202584326.79,30287.65,202570931.71,28303390.34,8983.18,108832.95,43085.63,5314.79,1672.82,202577919.32,202568936.14,174265545.79,4590.41,4097950.00
13,TataModel_1,2017,USA,2311,67037520.91,13273429.14,9215.37,66842.10,29008.01,19.80,8.99,238.01,17453.80,11729.22,6883.93,1825.92,5.41,USD,1.12,7246756.01,67019829.10,72704.15,66964816.76,6026673.13,4578.85,91492.09,35182.98,11861.39,3952.95,66980631.10,66976052.25,60949379.12,2719.77,4357836.00
14,TataModel_1,2018,USA,1604,79592111.03,12734737.76,8711.75,56214.86,49621.02,16.00,12.76,569.15,9385.64,14999.31,4816.29,2939.20,3.02,USD,1.00,2578784.40,79582156.24,92286.67,79499824.36,10155953.37,1016.56,26998.55,7507.53,4896.56,4855.09,79509576.01,79508559.45,69352606.08,3803.34,1544462.00
15,TataModel_1,2019,USA,1850,29325904.76,3988323.05,16438.43,53102.90,15851.84,13.60,18.73,826.35,24533.17,14204.03,10217.38,7192.09,3.74,INR,0.58,-1504418.91,29300545.24,26339.62,29299565.14,5492741.96,11109.58,29574.63,20939.82,8600.41,4683.90,29312849.45,29301739.87,23808997.91,3810.69,3270517.00
16,TataModel_1,2020,USA,6163,158903697.61,16653107.51,18408.22,45726.04,25783.50,10.48,7.18,470.96,12347.03,4371.54,7264.99,5079.68,4.35,JPY,1.11,5243822.02,158890879.62,92415.35,158811282.26,11409285.49,12310.42,18483.11,7319.63,7267.29,1149.25,158819698.80,158807388.38,147398102.89,1678.89,4409011.00
17,TataModel_1,2021,USA,4835,211919042.79,15639625.36,16575.55,58061.97,43830.21,7.38,16.27,666.99,20897.11,3506.12,2440.59,1351.88,5.52,AUD,1.39,-18839602.90,211897478.69,79345.31,211839697.48,34479228.26,13626.08,74712.68,20333.80,2969.91,5647.23,211848314.62,211834688.54,177355460.28,2507.03,2498109.00
18,TataModel_1,2022,USA,221,1878166.90,544668.40,13015.43,24188.98,8498.49,29.00,11.02,826.34,18089.47,8924.61,12072.29,1450.61,7.36,GBP,0.70,337694.41,1859251.09,63506.39,1814660.51,206973.99,2280.13,43541.05,29023.00,7781.60,1745.06,1824187.17,1821907.04,1614933.05,2844.49,3822437.00
19,TataModel_1,2023,USA,4892,234971680.37,37971423.55,7686.81,25405.23,48031.82,16.16,11.30,319.43,12199.94,9317.24,9593.55,5659.56,7.15,INR,1.23,11419623.67,234959161.00,68733.09,234902947.28,26551799.88,8889.89,101947.90,41195.14,7049.07,7730.10,234917726.45,234908836.56,208357036.68,3054.83,2636642.00
20,TataModel_1,2024,USA,4593,116000321.71,31273686.73,7695.79,73027.91,25255.89,26.96,10.79,1063.44,18126.82,12699.23,6051.11,991.40,7.46,EUR,0.84,18757252.02,115981131.45,21345.21,115978976.50,12516434.71,3053.85,44721.66,9225.75,5128.21,6182.56,115990287.27,115987233.42,103470798.71,4325.28,1768988.00
21,TataModel_1,2015,UK,2604,68175446.66,9128692.31,13549.95,65563.25,26181.05,13.39,13.61,885.25,9910.15,4548.29,17126.17,5007.97,7.31,USD,1.29,-149985.98,68164651.26,74376.02,68101070.64,9278678.29,11986.73,92263.59,29054.67,9127.64,5390.29,68115588.57,68103601.84,58824923.55,2582.93,4400425.00
22,TataModel_1,2016,UK,1729,86244754.34,8840087.32,6553.59,70602.04,49881.29,10.25,8.18,490.85,22210.69,11050.57,12782.31,5139.71,4.80,JPY,1.33,1785266.41,86222052.80,98783.62,86145970.72,7054820.91,10760.64,83132.51,33228.25,1294.19,6831.13,86154096.04,86143335.40,79088514.50,2349.08,3747152.00
23,TataModel_1,2017,UK,4357,147435060.96,8787129.63,9957.33,46124.16,33838.66,5.96,7.82,1197.55,15277.53,7337.57,13412.30,5200.78,4.45,INR,0.67,-2742292.13,147418585.88,30327.82,147404733.14,11529421.77,10956.32,110934.30,24680.69,2761.52,7945.89,147415440.55,147404484.23,135875062.47,2835.93,4573490.00
24,TataModel_1,2018,UK,782,19218033.30,2087078.42,19209.33,20566.09,24575.49,10.86,8.15,233.97,24522.00,7695.07,13327.04,3028.27,3.52,USD,0.61,520808.70,19193277.33,54483.36,19163549.94,1566269.71,7197.56,67893.06,34641.77,4113.35,6308.24,19173971.53,19166773.97,17600504.26,2595.35,2069089.00
25,TataModel_1,2019,UK,644,36351354.16,9215068.28,19643.48,57916.08,56446.20,25.35,6.07,858.47,9345.22,7536.26,4851.80,4278.93,7.27,JPY,1.43,7008541.08,36341150.47,32741.99,36318612.17,2206527.20,2440.99,110871.98,5087.74,10387.98,3597.11,36332597.26,36330156.27,34123629.08,4205.87,1670509.00
26,TataModel_1,2020,UK,6971,57152897.20,12070691.89,7242.36,71536.57,8198.67,21.12,7.91,613.34,10290.53,4821.50,5148.83,5093.55,10.37,USD,1.43,7549897.72,57141993.33,39574.77,57113322.43,4520794.17,7043.62,62215.99,43175.85,2912.96,1361.53,57117596.92,57110553.30,52589759.13,3892.78,3322379.00
27,TataModel_1,2021,UK,3324,190815174.78,41693115.69,13240.08,49812.60,57405.29,21.85,15.76,1016.97,17810.83,4079.87,7998.55,7498.56,10.52,EUR,0.56,11620644.14,190796346.98,88703.46,190726471.32,30072471.55,11080.40,25201.59,52975.52,5330.05,5320.05,190737121.42,190726041.02,160653569.48,3679.75,3358125.00
28,TataModel_1,2022,UK,1750,47517491.64,11290156.01,8433.42,50144.64,27152.85,23.76,7.14,704.53,3777.05,8360.85,12355.22,4358.70,7.30,AUD,1.27,7897407.11,47513010.06,51137.30,47466354.34,3392748.90,2420.41,108711.31,8741.29,8609.95,5980.68,47480944.97,47478524.56,44085775.66,4212.67,1193746.00
29,TataModel_1,2023,UK,5304,48010994.06,4834707.10,6897.69,64035.86,9051.85,10.07,8.31,1447.02,7190.87,5659.26,6991.74,3273.49,8.19,EUR,0.92,844993.50,48002356.17,49293.21,47961700.85,3989713.61,5228.53,55295.86,10516.01,10732.69,7885.25,47980318.79,47975090.26,43985376.65,1329.96,4058657.00
30,TataModel_1,2024,UK,1217,27876755.53,2060092.23,17812.12,43887.44,22906.13,7.39,15.04,1220.06,17639.98,9206.54,11638.65,5643.13,5.12,AUD,0.96,-2132571.80,27857895.49,13947.22,27862808.31,4192664.03,9056.30,87375.74,29076.24,2961.82,3655.22,27869425.35,27860369.05,23667705.02,4083.80,2682417.00
31,TataModel_1,2015,Germany,4943,296268531.12,33004314.37,15706.42,39031.65,59936.99,11.14,17.72,767.25,12913.36,2760.14,5131.46,3454.87,10.14,JPY,1.02,-19494469.35,296254850.51,95225.15,296173305.97,52498783.71,9743.09,114584.64,15256.22,5779.55,3965.94,296183051.46,296173308.37,243674524.66,2340.17,4001511.00
32,TataModel_1,2016,Germany,931,48316779.49,7281338.67,11219.78,58673.53,51897.72,15.07,6.03,454.37,5813.53,9523.06,9304.45,3965.38,10.08,JPY,0.74,4367836.87,48310511.59,87159.27,48229620.22,2913501.80,1027.66,108453.74,42317.11,10907.73,4358.36,48244886.31,48243858.65,45330356.85,3672.61,3924993.00
33,TataModel_1,2017,Germany,6576,226283139.54,26859808.66,8891.76,52250.69,34410.45,11.87,10.03,1186.40,3691.31,13323.41,18821.31,7479.05,10.29,INR,1.25,4163609.77,226278261.83,58897.87,226224241.67,22696198.90,11705.99,44750.72,7012.89,2589.84,1333.32,226228164.83,226216458.84,203520259.95,4041.78,1815273.00
34,TataModel_1,2018,Germany,2269,123495157.19,33689478.88,11161.17,55009.54,54427.13,27.28,12.70,744.12,11223.30,2568.07,2717.34,3735.80,3.31,EUR,0.92,18005593.92,123483189.77,89478.68,123405678.51,15683884.96,1245.06,103946.61,51534.20,7758.40,5943.48,123419380.39,123418135.33,107734250.36,4631.37,4469770.00
35,TataModel_1,2019,Germany,754,30446955.55,3379612.07,15937.60,69305.10,40380.58,11.10,8.24,592.91,11024.19,3162.03,8957.38,1961.64,3.89,INR,1.47,870782.93,30435338.45,47186.77,30399768.78,2508829.14,11190.79,90163.22,50690.43,9272.95,3482.22,30412523.95,30401333.16,27892504.02,3137.05,1218524.00
36,TataModel_1,2020,Germany,481,5799984.77,719198.11,16074.95,28677.95,12058.18,12.40,16.89,500.29,4908.80,8073.89,19730.08,646.45,7.34,GBP,0.92,-260419.32,5794575.68,49635.11,5750349.66,979617.43,4901.18,67923.12,52673.13,7350.73,786.91,5758487.30,5753586.12,4773968.69,3185.29,4803708.00
37,TataModel_1,2021,Germany,6302,359690751.84,104705977.86,15575.07,42956.72,57075.65,29.11,18.41,1078.28,16541.59,7888.68,2534.69,6146.52,9.74,USD,1.18,38486910.45,359673131.97,87386.24,359603365.60,66219067.41,9879.34,102221.17,28462.90,6494.41,1316.52,359611176.53,359601297.19,293382229.77,1500.89,3300339.00
38,TataModel_1,2022,Germany,3963,218391015.63,31317271.64,8136.25,64744.75,55107.50,14.34,7.75,1039.68,22938.81,9332.02,15309.02,5822.60,7.76,EUR,1.23,14391967.93,218367037.14,68155.19,218322860.44,16925303.71,11883.41,94465.13,9686.41,10607.14,7794.48,218341262.06,218329378.65,201404074.94,2348.61,1734491.00
39,TataModel_1,2023,Germany,1996,122809791.54,12489755.80,10200.34,71581.11,61527.95,10.17,10.06,1315.77,17088.14,11116.36,7464.70,7973.51,5.18,JPY,0.87,135090.77,122791387.63,35546.19,122774245.35,12354665.03,8190.19,65576.03,11885.76,10188.92,2430.40,122786864.67,122778674.48,110424009.45,1026.16,2694992.00
40,TataModel_1,2024,Germany,6652,70386596.15,20918896.38,16454.72,40705.62,10581.27,29.72,12.47,375.51,8900.96,10330.43,8587.59,2349.40,9.34,AUD,1.45,12141687.84,70377319.68,78119.18,70308476.97,8777208.54,2844.15,40505.89,56565.51,1134.23,3337.11,70312948.31,70310104.16,61532895.62,1676.20,3493472.00
41,TataModel_1,2015,France,2942,71502403.12,7615005.93,17525.05,62630.79,24304.01,10.65,9.26,576.85,6266.12,12586.64,10255.06,3776.05,5.76,EUR,1.33,993883.40,71495560.15,92626.84,71409776.28,6621122.53,6445.56,100716.33,56522.92,3998.79,5547.08,71419322.15,71412876.59,64791754.07,2488.23,3167322.00
42,TataModel_1,2016,France,4517,174923998.62,40722306.88,13453.87,60371.43,38725.70,23.28,9.39,605.11,11239.70,12526.73,13111.44,4290.80,10.30,AUD,1.03,24296943.41,174912153.81,15607.47,174908391.15,16425363.47,5666.24,79929.28,28824.63,5102.23,6950.35,174920443.73,174914777.49,158489414.02,1929.28,1453209.00
43,TataModel_1,2017,France,6404,210419529.59,28974769.23,18979.06,57757.13,32857.52,13.77,11.07,431.05,23939.00,12703.47,15567.48,4216.83,7.19,EUR,0.51,5681327.30,210395159.54,27166.69,210392362.90,23293441.93,7560.38,74189.25,54719.98,5942.24,2983.63,210401288.77,210393728.39,187100286.47,2572.24,1942258.00
44,TataModel_1,2018,France,6162,395645594.68,80197362.04,7101.55,26732.04,64207.33,20.27,19.31,605.25,16020.52,5305.61,19138.03,7774.23,8.27,JPY,0.66,3798197.71,395628968.91,54733.65,395590861.03,76399164.33,10648.32,65649.81,33004.23,9987.31,4477.61,395605325.95,395594677.63,319195513.30,2794.50,4940327.00
45,TataModel_1,2019,France,124,3436140.10,312001.52,17262.83,33129.45,27710.81,9.08,11.49,426.04,21348.43,14011.40,13644.26,6578.85,7.63,USD,0.99,-82810.98,3414365.63,79447.12,3356692.98,394812.50,8300.97,103543.72,42787.16,6921.43,7877.89,3371492.30,3363191.33,2968378.83,4506.17,4536580.00
46,TataModel_1,2020,France,849,35986742.98,1975672.19,12136.44,62629.09,42387.21,5.49,5.67,361.88,17711.98,13536.79,15473.98,6874.05,5.92,JPY,1.46,-64776.14,35968669.12,84754.78,35901988.20,2040448.33,1742.56,27911.84,43206.23,5965.15,5584.16,35913537.51,35911794.95,33871346.62,2566.32,3700829.00
47,TataModel_1,2021,France,755,33072246.30,9772848.78,12841.43,28160.76,43804.30,29.55,15.40,100.93,21802.21,7946.43,4078.75,1865.91,7.78,JPY,1.10,4679722.85,33050343.16,31543.06,33040703.24,5093125.93,13863.94,29595.09,8599.94,8618.44,5264.79,33054586.47,33040722.53,27947596.60,4204.31,4223167.00
48,TataModel_1,2022,France,5715,186061270.68,25062453.16,15623.91,57330.89,32556.65,13.47,9.89,235.54,11833.27,2290.63,19570.28,3910.99,11.66,AUD,0.87,6660993.49,186049201.87,68384.79,185992885.89,18401459.67,2672.62,30095.63,32964.57,6099.78,1581.94,186000567.61,185997894.99,167596435.32,2152.87,4947648.00
49,TataModel_1,2023,France,999,25092847.31,3633444.29,19974.16,52880.29,25117.97,14.48,6.22,426.35,23773.41,8872.16,5591.74,3769.29,9.40,JPY,1.00,2072669.19,25068647.55,79876.69,25012970.62,1560775.10,3824.53,81543.93,27666.78,8737.06,4440.69,25026148.37,25022323.84,23461548.74,2935.97,3016343.00
50,TataModel_1,2024,France,4640,90968335.12,14027317.28,19216.16,67959.86,19605.24,15.42,14.81,1368.24,9053.14,12449.98,3295.24,4242.65,10.67,EUR,0.52,554906.84,90957913.74,25053.69,90943281.43,13472410.43,4874.48,74268.25,41215.70,9485.26,7717.08,90960483.77,90955609.29,77483198.86,2450.63,4733460.00
51,TataModel_1,2015,Australia,3803,137264735.60,9416360.86,14736.46,66372.26,36093.80,6.86,7.38,1236.72,23755.88,11384.80,11098.81,4552.42,9.98,EUR,0.95,-713776.63,137239743.00,46553.15,137218182.45,10130137.49,11928.99,94831.53,13886.91,1755.76,2620.94,137222559.15,137210630.16,127080492.67,3871.98,2939529.00
52,TataModel_1,2016,Australia,741,18440182.95,1866146.52,15305.12,65892.66,24885.54,10.12,15.72,988.45,4354.52,4654.80,11460.81,1600.72,11.51,INR,0.64,-1032650.25,18434839.98,63401.92,18376781.03,2898796.76,13573.46,46464.50,12947.90,5314.37,6138.13,18388233.53,18374660.07,15475863.31,1567.74,1651655.00
53,TataModel_1,2017,Australia,3664,173316399.53,48112632.51,16847.12,52438.43,47302.51,27.76,18.75,1098.23,19369.73,5595.23,16690.10,3077.50,6.60,INR,0.99,15615807.60,173295931.57,72389.69,173244009.84,32496824.91,4631.25,54772.58,48816.86,4058.31,5640.58,173253708.73,173249077.48,140752252.57,4594.80,4078450.00
54,TataModel_1,2018,Australia,706,17469174.93,3692983.58,10084.97,47191.75,24743.87,21.14,7.85,959.54,6725.80,4271.69,3350.19,3779.54,3.11,GBP,0.59,2321653.35,17461489.59,95313.00,17373861.93,1371330.23,7175.60,24804.45,50332.74,2345.88,5669.48,17381877.29,17374701.69,16003371.46,4319.27,2040687.00
55,TataModel_1,2019,Australia,3966,77533868.77,6830733.84,17433.66,32142.34,19549.64,8.81,9.02,723.81,18034.76,9288.60,18154.34,3072.60,3.24,AUD,0.97,-162821.12,77515110.20,11908.32,77521960.45,6993554.96,6777.73,24243.31,14417.39,6648.73,6450.95,77535060.13,77528282.40,70534727.44,3966.77,2374114.00
56,TataModel_1,2020,Australia,6562,283858041.69,74711436.57,6266.57,37809.69,43257.85,26.32,9.36,888.23,22799.33,9756.35,7338.18,3563.49,10.85,AUD,0.77,48142323.87,283834354.13,83110.24,283774931.45,26569112.70,11966.42,90611.45,35346.52,5488.67,4475.19,283784895.31,283772928.89,257203816.19,1477.76,3010104.00
57,TataModel_1,2021,Australia,1364,6999550.01,534065.67,8587.19,24943.28,5131.63,7.63,8.76,1206.18,9484.81,7961.03,2273.14,7979.36,11.32,AUD,0.73,-79094.92,6988859.02,62467.77,6937082.24,613160.58,8060.02,31455.58,35120.67,6634.20,6116.28,6949832.72,6941772.70,6328612.12,2538.36,2889380.00
58,TataModel_1,2022,Australia,4430,43311494.78,5167061.33,6895.77,74012.00,9776.86,11.93,17.35,1235.05,24495.84,14019.41,18714.17,1161.61,11.45,GBP,0.76,-2347483.02,43285763.89,72537.18,43238957.60,7514544.34,4184.64,75445.59,34195.06,3199.66,660.36,43242817.62,43238632.98,35724088.64,3968.45,3128897.00
59,TataModel_1,2023,Australia,620,14573517.27,3692929.28,11068.55,47560.37,23505.67,25.34,19.75,359.90,18734.02,10557.11,18799.79,4831.36,11.14,USD,1.30,814659.62,14554423.35,87442.81,14486074.46,2878269.66,1523.44,92560.48,46500.41,3351.82,1744.09,14491170.37,14489646.93,11611377.27,3290.32,2307557.00
60,TataModel_1,2024,Australia,3987,146559780.08,39820292.25,12562.20,67815.97,36759.41,27.17,16.05,1152.93,24922.05,6757.99,7142.77,2320.79,4.16,EUR,1.44,16297447.54,146533705.10,10907.63,146548872.45,23522844.70,12671.07,38116.35,11011.85,8851.96,885.64,146558610.05,146545938.98,123023094.28,2872.44,3709798.00
61,TataModel_1,2015,Japan,4773,269273809.55,63252417.86,9849.95,31904.00,56416.05,23.49,12.19,964.78,16228.38,4025.76,12944.11,7266.98,9.70,AUD,1.01,30427940.48,269256616.39,10586.68,269263222.87,32824477.38,9813.10,59059.48,35570.86,10091.94,3049.47,269276364.28,269266551.18,236442073.79,4157.43,4638849.00
62,TataModel_1,2016,Japan,3863,195688656.61,14050445.54,6148.77,30807.93,50657.17,7.18,7.57,1040.90,6956.97,6518.50,4741.34,3206.39,10.28,AUD,0.72,-763185.76,195680658.74,65945.28,195622711.33,14813631.31,11499.89,101434.30,56374.62,11554.50,2292.82,195636558.65,195625058.76,180811427.45,1828.66,3567706.00
63,TataModel_1,2017,Japan,1515,37827424.12,5776247.66,4635.49,52022.19,24968.60,15.27,14.93,414.93,8650.20,5275.57,5754.99,3342.14,4.73,JPY,0.85,128613.24,37818358.99,37536.74,37789887.38,5647634.42,10956.95,79165.01,34685.12,5199.37,1733.50,37796820.25,37785863.30,32138228.88,3828.31,2666032.00
64,TataModel_1,2018,Japan,5900,101360012.02,19157042.27,7662.34,41790.86,17179.66,18.90,19.50,106.26,14936.57,2229.16,13514.66,1157.43,5.29,EUR,1.42,-608160.07,101344969.19,38832.31,101321179.71,19765202.34,10843.92,54316.27,16367.63,6583.95,6548.58,101334312.24,101323468.32,81558265.98,1933.24,2825331.00
65,TataModel_1,2019,Japan,2746,88580414.84,10071593.17,16804.35,74354.49,32257.98,11.37,17.34,1072.31,16451.52,11168.06,6501.35,1305.67,8.87,AUD,0.67,-5288250.77,88562891.01,30403.20,88550011.64,15359843.93,3614.13,89098.59,17111.57,10226.23,7681.93,88567919.80,88564305.67,73204461.74,1638.17,2439646.00
66,TataModel_1,2020,Japan,2040,97120285.13,27883233.86,6694.73,45880.78,47607.98,28.71,15.81,446.66,18506.69,12569.44,19938.84,5128.94,9.74,JPY,1.18,12528516.78,97101331.78,52190.63,97068094.50,15354717.08,13519.05,30666.33,39039.29,5831.59,5568.42,97079494.51,97065975.46,81711258.38,2558.78,1981027.00
67,TataModel_1,2021,Japan,3848,91333947.51,11836879.60,5090.39,50661.71,23735.43,12.96,11.43,953.99,16733.21,5774.38,7070.28,1421.95,9.15,JPY,1.41,1397409.40,91316260.31,56089.67,91277857.84,10439470.20,4062.40,26573.64,49677.00,3232.85,4119.65,91285210.34,91281147.94,80841677.74,1891.10,3779467.00
68,TataModel_1,2022,Japan,5631,194512272.96,36801722.04,10715.10,26260.43,34543.11,18.92,14.58,773.00,16604.40,5867.02,19893.73,6347.20,7.36,JPY,0.72,8441832.65,194494895.56,13867.57,194498405.39,28359889.40,3202.35,26596.27,26204.54,7039.10,7512.67,194512957.16,194509754.81,166149865.41,4000.64,1445095.00
69,TataModel_1,2023,Japan,2372,108197666.30,22018225.09,8658.59,56251.61,45614.53,20.35,8.53,206.31,7499.78,14640.15,18870.49,996.35,6.90,GBP,0.82,12788964.16,108189960.21,88941.23,108108725.07,9229260.94,8426.10,14518.03,11021.71,4825.05,4626.63,108118176.75,108109750.65,98880489.72,4151.72,1683697.00
70,TataModel_1,2024,Japan,3351,216553308.56,25033562.47,5779.98,24203.50,64623.49,11.56,12.06,832.88,12520.38,10083.71,11429.66,584.81,5.77,USD,1.00,-1082766.54,216539955.30,94002.78,216459305.78,26116329.01,8382.38,48899.96,33058.65,7491.34,3929.43,216470726.55,216462344.17,190346015.16,3138.68,3397370.00
71,TataModel_2,2015,India,5019,216939291.92,34276408.12,19789.21,46519.25,43223.61,15.80,9.73,272.37,24161.13,2585.30,9508.75,4423.72,7.50,USD,0.69,13168215.02,216914858.42,27751.28,216911540.64,21108193.10,4830.02,11412.52,55292.61,8145.40,755.30,216920441.34,216915611.32,195807418.22,2100.20,3562897.00
72,TataModel_2,2016,India,3166,82585675.78,8638461.69,8469.09,63698.80,26085.18,10.46,10.39,1410.46,19787.14,14363.16,4600.80,3163.10,4.91,JPY,0.76,57809.97,82564478.18,95498.30,82490177.48,8580651.71,8349.11,37749.75,52479.83,2071.54,5232.06,82497481.08,82489131.97,73908480.26,4985.77,3308076.00
73,TataModel_2,2017,India,4943,144144933.13,24504638.63,14369.39,72959.08,29161.43,17.00,6.26,1239.23,19985.47,6778.80,6246.43,617.53,4.38,EUR,0.64,15481165.82,144123708.43,57229.19,144087703.94,9023472.81,3958.23,31874.31,21873.65,3667.09,6222.49,144097593.52,144093635.29,135070162.48,4660.48,3494331.00
74,TataModel_2,2018,India,5397,134628428.42,22254079.22,6793.94,44789.05,24945.05,16.53,10.35,801.23,3998.85,1247.55,15952.19,5829.72,4.16,EUR,0.50,8320036.88,134623628.34,68210.42,134560218.00,13934042.34,13892.52,54271.30,19387.92,3256.78,688.63,134564163.41,134550270.89,120616228.54,1559.79,4122206.00
75,TataModel_2,2019,India,4160,209518146.09,37503748.15,14860.38,22677.60,50364.94,17.90,10.84,1085.65,3653.34,7391.19,5063.76,5215.76,11.57,INR,0.78,14791981.11,209513407.10,50991.89,209467154.20,22711767.04,9173.75,90243.70,41126.55,8986.42,3917.86,209480058.48,209470884.73,186759117.69,2042.75,1834552.00
76,TataModel_2,2020,India,1439,30787110.43,8069301.64,15806.44,51943.04,21394.80,26.21,19.79,989.58,16477.82,11933.67,3500.60,4691.85,7.43,USD,0.62,1976532.49,30769643.03,31617.38,30755493.05,6092769.15,1725.40,18788.33,11998.52,4383.68,7695.17,30767571.90,30765846.50,24673077.34,4254.10,2509854.00
77,TataModel_2,2021,India,2407,21860695.22,2100812.81,18694.96,48844.84,9082.13,9.61,10.60,1072.31,7469.24,12786.27,3453.72,4996.70,8.74,EUR,0.82,-216420.88,21852153.67,77861.09,21782834.13,2317233.69,8799.88,51396.70,10398.20,2999.46,7906.31,21793739.90,21784940.02,19467706.32,3803.88,2908700.00
78,TataModel_2,2022,India,3819,61000431.64,3574625.29,15643.61,59202.04,15972.88,5.86,13.86,259.47,24368.44,6440.35,9528.90,999.17,4.65,GBP,0.89,-4880034.53,60975803.73,29732.66,60970698.98,8454659.83,14840.49,96276.97,58881.84,9003.94,4864.54,60984567.46,60969726.97,52515067.14,1459.27,4787082.00
