car_model,salesperson_id,age_group,customer_gender,customer_income_group,customer_residence_type,is_first_time_buyer,loyalty_program_member,discount_reason,feedback_score,car_type,car_img_url,fuel_type,transmission,safety_rating,seating_capacity
TataModel_2,524,"Young Adults",Male,Low,Urban,TRUE,FALSE,Festival,7.76,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_2.jpg,Diesel,Manual,3.2,5-Seater
TataModel_48,891,"Mature Adults",Female,Low,Rural,FALSE,FALSE,Festival,4.98,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_48.jpg,Hybrid,Manual,4.4,4-Seater
TataModel_9,202,"Senior Adults",Female,Medium,Suburban,FALSE,TRUE,Festival,5.05,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_9.jpg,Electric,Automatic,4.2,7-Seater
TataModel_32,417,"Early Mid-Age",Female,High,Urban,FALSE,TRUE,"New Model Launch",8.19,Sedan,https://cdn.cars.tatamotors.com/images/sedan/tatamodel_32.jpg,Electric,Automatic,4.7,7-Seater
TataModel_24,681,"Senior Adults",Female,Low,Urban,FALSE,FALSE,"New Model Launch",9.7,Sedan,https://cdn.cars.tatamotors.com/images/sedan/tatamodel_24.jpg,Hybrid,Manual,4.7,5-Seater
TataModel_11,72,"Young Adults",Female,Low,Suburban,FALSE,TRUE,"New Model Launch",8.93,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_11.jpg,Electric,CVT,2.7,8-Seater
TataModel_15,377,"Senior Adults",Other,Low,Urban,FALSE,FALSE,"New Model Launch",4.18,Sedan,https://cdn.cars.tatamotors.com/images/sedan/tatamodel_15.jpg,Hybrid,Manual,3.8,8-Seater
TataModel_31,469,"Early Mid-Age",Other,High,Rural,TRUE,FALSE,"No Discount",4.24,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_31.jpg,Petrol,Manual,4.5,7-Seater
TataModel_34,589,"Mature Adults",Male,Low,Suburban,FALSE,FALSE,"New Model Launch",4.41,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_34.jpg,Hybrid,CVT,3.4,8-Seater
TataModel_37,107,"Senior Adults",Other,Medium,Urban,TRUE,FALSE,Festival,5.49,Coupe,https://cdn.cars.tatamotors.com/images/coupe/tatamodel_37.jpg,Electric,CVT,2.6,5-Seater
TataModel_47,527,"Mature Adults",Male,Low,Suburban,FALSE,FALSE,Clearance,5.27,Sedan,https://cdn.cars.tatamotors.com/images/sedan/tatamodel_47.jpg,Petrol,Manual,3.8,8-Seater
TataModel_12,599,"Young Adults",Other,Low,Suburban,TRUE,FALSE,Festival,6.95,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_12.jpg,Petrol,CVT,4,8-Seater
TataModel_28,243,"Young Adults",Male,Medium,Rural,TRUE,TRUE,Clearance,6.57,SUV,https://cdn.cars.tatamotors.com/images/suv/tatamodel_28.jpg,Electric,Automatic,4.5,5-Seater
TataModel_25,142,"Young Adults",Other,Medium,Suburban,TRUE,TRUE,"No Discount",1.27,Coupe,https://cdn.cars.tatamotors.com/images/coupe/tatamodel_25.jpg,Petrol,CVT,4.8,7-Seater
TataModel_13,822,"Senior Adults",Male,High,Rural,TRUE,TRUE,"New Model Launch",7.59,Coupe,https://cdn.cars.tatamotors.com/images/coupe/tatamodel_13.jpg,Electric,Automatic,5,4-Seater
TataModel_20,186,"Mature Adults",Male,High,Suburban,FALSE,FALSE,Festival,8.21,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_20.jpg,Diesel,Manual,3.4,8-Seater
TataModel_33,854,"Young Adults",Other,Medium,Rural,TRUE,TRUE,Clearance,4.91,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_33.jpg,Hybrid,Automatic,3.3,4-Seater
TataModel_27,601,"Young Adults",Female,Low,Suburban,TRUE,FALSE,"No Discount",4.13,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_27.jpg,Hybrid,CVT,3.8,4-Seater
TataModel_38,554,"Early Mid-Age",Male,Medium,Urban,FALSE,FALSE,Clearance,1.23,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_38.jpg,Diesel,Manual,3.7,5-Seater
TataModel_48,739,"Young Adults",Female,Medium,Suburban,FALSE,FALSE,Festival,9.85,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_48.jpg,Hybrid,Manual,4.4,4-Seater
TataModel_42,308,"Senior Adults",Female,Medium,Suburban,TRUE,FALSE,"No Discount",6.78,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_42.jpg,Hybrid,Automatic,2.6,8-Seater
TataModel_14,771,"Mature Adults",Female,High,Rural,FALSE,TRUE,Clearance,5.99,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_14.jpg,Diesel,Manual,2.9,5-Seater
TataModel_25,778,"Early Mid-Age",Other,Medium,Urban,FALSE,TRUE,Clearance,7.66,Coupe,https://cdn.cars.tatamotors.com/images/coupe/tatamodel_25.jpg,Petrol,CVT,4.8,7-Seater
TataModel_40,438,"Young Adults",Other,Low,Suburban,FALSE,FALSE,Festival,1.85,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_40.jpg,Electric,Automatic,3.2,7-Seater
TataModel_28,759,"Early Mid-Age",Male,Low,Suburban,FALSE,FALSE,"New Model Launch",4.15,SUV,https://cdn.cars.tatamotors.com/images/suv/tatamodel_28.jpg,Electric,Automatic,4.5,5-Seater
TataModel_42,664,"Mature Adults",Male,Medium,Urban,FALSE,FALSE,"New Model Launch",1.07,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_42.jpg,Hybrid,Automatic,2.6,8-Seater
TataModel_44,161,"Early Mid-Age",Male,Medium,Urban,TRUE,TRUE,Festival,7.23,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_44.jpg,Electric,Automatic,4.6,5-Seater
TataModel_31,599,"Mature Adults",Male,Low,Suburban,FALSE,TRUE,Festival,3.87,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_31.jpg,Petrol,Manual,4.5,7-Seater
TataModel_43,878,"Mature Adults",Female,High,Rural,TRUE,FALSE,Clearance,8.06,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_43.jpg,Hybrid,Automatic,2.6,5-Seater
TataModel_33,620,"Early Mid-Age",Male,High,Rural,FALSE,TRUE,"No Discount",9.2,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_33.jpg,Hybrid,Automatic,3.3,4-Seater
TataModel_28,741,"Senior Adults",Female,Medium,Suburban,TRUE,FALSE,"No Discount",7.3,SUV,https://cdn.cars.tatamotors.com/images/suv/tatamodel_28.jpg,Electric,Automatic,4.5,5-Seater
TataModel_44,506,"Senior Adults",Male,Medium,Urban,TRUE,TRUE,Festival,5.83,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_44.jpg,Electric,Automatic,4.6,5-Seater
TataModel_45,54,"Mature Adults",Female,Low,Rural,TRUE,FALSE,"New Model Launch",7.58,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_45.jpg,Hybrid,CVT,3.4,8-Seater
TataModel_6,938,"Senior Adults",Other,High,Suburban,TRUE,FALSE,Festival,4.91,Sedan,https://cdn.cars.tatamotors.com/images/sedan/tatamodel_6.jpg,Electric,Automatic,2.9,5-Seater
TataModel_14,263,"Mature Adults",Other,Low,Suburban,TRUE,FALSE,Clearance,3.74,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_14.jpg,Diesel,Manual,2.9,5-Seater
TataModel_44,236,"Early Mid-Age",Female,High,Urban,TRUE,TRUE,Clearance,3.45,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_44.jpg,Electric,Automatic,4.6,5-Seater
TataModel_43,755,"Early Mid-Age",Other,High,Urban,FALSE,FALSE,Clearance,2.43,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_43.jpg,Hybrid,Automatic,2.6,5-Seater
TataModel_45,645,"Mature Adults",Female,Low,Rural,TRUE,FALSE,Festival,5.38,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_45.jpg,Hybrid,CVT,3.4,8-Seater
TataModel_10,208,"Early Mid-Age",Female,Low,Urban,FALSE,TRUE,"New Model Launch",2.85,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_10.jpg,Hybrid,Automatic,3.9,8-Seater
TataModel_45,927,"Young Adults",Male,Low,Rural,FALSE,FALSE,Festival,8.95,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_45.jpg,Hybrid,CVT,3.4,8-Seater
TataModel_18,370,"Early Mid-Age",Other,High,Urban,TRUE,TRUE,"No Discount",3.49,Coupe,https://cdn.cars.tatamotors.com/images/coupe/tatamodel_18.jpg,Diesel,Automatic,4.2,7-Seater
TataModel_5,174,"Senior Adults",Female,Low,Rural,FALSE,FALSE,"No Discount",6.34,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_5.jpg,Hybrid,Manual,3.3,8-Seater
TataModel_33,728,"Senior Adults",Other,High,Urban,TRUE,TRUE,"No Discount",4.22,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_33.jpg,Hybrid,Automatic,3.3,4-Seater
TataModel_27,787,"Senior Adults",Female,Medium,Urban,FALSE,TRUE,"No Discount",5.5,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_27.jpg,Hybrid,CVT,3.8,4-Seater
TataModel_50,892,"Mature Adults",Female,Low,Rural,FALSE,TRUE,"No Discount",6.11,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_50.jpg,Electric,Automatic,4.1,4-Seater
TataModel_25,670,"Young Adults",Female,High,Suburban,TRUE,FALSE,Clearance,5.16,Coupe,https://cdn.cars.tatamotors.com/images/coupe/tatamodel_25.jpg,Petrol,CVT,4.8,7-Seater
TataModel_25,469,"Young Adults",Female,Medium,Urban,FALSE,TRUE,Festival,6.68,Coupe,https://cdn.cars.tatamotors.com/images/coupe/tatamodel_25.jpg,Petrol,CVT,4.8,7-Seater
TataModel_35,811,"Early Mid-Age",Male,Low,Urban,TRUE,TRUE,Festival,5.5,Coupe,https://cdn.cars.tatamotors.com/images/coupe/tatamodel_35.jpg,Electric,Automatic,2.7,4-Seater
TataModel_22,818,"Mature Adults",Other,High,Suburban,TRUE,TRUE,Clearance,9.83,SUV,https://cdn.cars.tatamotors.com/images/suv/tatamodel_22.jpg,Electric,CVT,4.5,7-Seater
TataModel_38,410,"Young Adults",Female,Low,Rural,TRUE,TRUE,Festival,8.18,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_38.jpg,Diesel,Manual,3.7,5-Seater
TataModel_32,705,"Young Adults",Other,Low,Suburban,FALSE,FALSE,"New Model Launch",3.85,Sedan,https://cdn.cars.tatamotors.com/images/sedan/tatamodel_32.jpg,Electric,Automatic,4.7,7-Seater
TataModel_20,928,"Senior Adults",Female,Low,Rural,FALSE,FALSE,Clearance,8.04,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_20.jpg,Diesel,Manual,3.4,8-Seater
TataModel_39,604,"Senior Adults",Female,Low,Rural,FALSE,FALSE,Festival,2.56,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_39.jpg,Electric,Manual,3.9,4-Seater
TataModel_18,558,"Young Adults",Other,Low,Urban,FALSE,FALSE,"No Discount",4.12,Coupe,https://cdn.cars.tatamotors.com/images/coupe/tatamodel_18.jpg,Diesel,Automatic,4.2,7-Seater
TataModel_40,949,"Early Mid-Age",Male,High,Suburban,FALSE,TRUE,"No Discount",4.76,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_40.jpg,Electric,Automatic,3.2,7-Seater
TataModel_32,775,"Senior Adults",Female,High,Suburban,FALSE,TRUE,"No Discount",5.28,Sedan,https://cdn.cars.tatamotors.com/images/sedan/tatamodel_32.jpg,Electric,Automatic,4.7,7-Seater
TataModel_6,412,"Young Adults",Other,Medium,Rural,TRUE,FALSE,"New Model Launch",5.28,Sedan,https://cdn.cars.tatamotors.com/images/sedan/tatamodel_6.jpg,Electric,Automatic,2.9,5-Seater
TataModel_30,459,"Mature Adults",Male,High,Rural,TRUE,TRUE,"No Discount",9.86,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_30.jpg,Hybrid,CVT,4.3,5-Seater
TataModel_7,289,"Senior Adults",Other,Medium,Rural,TRUE,TRUE,"No Discount",4.05,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_7.jpg,Hybrid,CVT,3.9,7-Seater
TataModel_45,431,"Mature Adults",Other,High,Urban,TRUE,TRUE,Clearance,4.24,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_45.jpg,Hybrid,CVT,3.4,8-Seater
TataModel_34,86,"Mature Adults",Female,High,Urban,FALSE,FALSE,Clearance,6.47,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_34.jpg,Hybrid,CVT,3.4,8-Seater
TataModel_30,676,"Early Mid-Age",Other,Medium,Suburban,FALSE,TRUE,Clearance,8.53,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_30.jpg,Hybrid,CVT,4.3,5-Seater
TataModel_12,815,"Young Adults",Other,Low,Suburban,TRUE,TRUE,"New Model Launch",2.39,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_12.jpg,Petrol,CVT,4,8-Seater
TataModel_19,982,"Young Adults",Male,Low,Rural,TRUE,FALSE,Festival,7.07,Sedan,https://cdn.cars.tatamotors.com/images/sedan/tatamodel_19.jpg,Diesel,Manual,4.3,4-Seater
TataModel_11,307,"Early Mid-Age",Male,High,Urban,FALSE,FALSE,"New Model Launch",8.25,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_11.jpg,Electric,CVT,2.7,8-Seater
TataModel_42,784,"Senior Adults",Male,High,Urban,FALSE,TRUE,Clearance,6.15,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_42.jpg,Hybrid,Automatic,2.6,8-Seater
TataModel_10,630,"Senior Adults",Female,Medium,Rural,TRUE,FALSE,"No Discount",4.18,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_10.jpg,Hybrid,Automatic,3.9,8-Seater
TataModel_15,639,"Mature Adults",Female,Medium,Urban,TRUE,FALSE,"No Discount",3.75,Sedan,https://cdn.cars.tatamotors.com/images/sedan/tatamodel_15.jpg,Hybrid,Manual,3.8,8-Seater
TataModel_23,143,"Early Mid-Age",Female,High,Rural,TRUE,TRUE,Festival,3.62,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_23.jpg,Hybrid,Manual,4.5,8-Seater
TataModel_5,923,"Early Mid-Age",Male,Low,Suburban,TRUE,FALSE,Clearance,1.1,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_5.jpg,Hybrid,Manual,3.3,8-Seater
TataModel_4,903,"Young Adults",Other,Low,Rural,FALSE,FALSE,"No Discount",2.26,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_4.jpg,Diesel,Manual,4.6,8-Seater
TataModel_17,45,"Early Mid-Age",Other,Low,Suburban,TRUE,TRUE,"No Discount",6.92,Coupe,https://cdn.cars.tatamotors.com/images/coupe/tatamodel_17.jpg,Hybrid,Manual,4.4,5-Seater
TataModel_47,101,"Early Mid-Age",Female,High,Urban,FALSE,FALSE,"New Model Launch",6.17,Sedan,https://cdn.cars.tatamotors.com/images/sedan/tatamodel_47.jpg,Petrol,Manual,3.8,8-Seater
TataModel_39,689,"Mature Adults",Male,Medium,Rural,FALSE,FALSE,Festival,8.28,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_39.jpg,Electric,Manual,3.9,4-Seater
TataModel_48,295,"Mature Adults",Male,Low,Suburban,FALSE,TRUE,Festival,2.22,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_48.jpg,Hybrid,Manual,4.4,4-Seater
TataModel_24,662,"Young Adults",Male,High,Urban,TRUE,TRUE,"No Discount",8.04,Sedan,https://cdn.cars.tatamotors.com/images/sedan/tatamodel_24.jpg,Hybrid,Manual,4.7,5-Seater
TataModel_8,539,"Early Mid-Age",Other,Low,Rural,TRUE,TRUE,Festival,7.28,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_8.jpg,Electric,CVT,4.8,7-Seater
TataModel_40,300,"Mature Adults",Male,High,Rural,TRUE,TRUE,"New Model Launch",5.2,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_40.jpg,Electric,Automatic,3.2,7-Seater
TataModel_33,112,"Senior Adults",Other,Low,Suburban,FALSE,TRUE,"No Discount",8.83,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_33.jpg,Hybrid,Automatic,3.3,4-Seater
TataModel_24,567,"Early Mid-Age",Female,High,Urban,FALSE,FALSE,"New Model Launch",9.58,Sedan,https://cdn.cars.tatamotors.com/images/sedan/tatamodel_24.jpg,Hybrid,Manual,4.7,5-Seater
TataModel_28,155,"Senior Adults",Female,Medium,Urban,FALSE,FALSE,"New Model Launch",8.42,SUV,https://cdn.cars.tatamotors.com/images/suv/tatamodel_28.jpg,Electric,Automatic,4.5,5-Seater
TataModel_8,637,"Mature Adults",Female,Medium,Urban,TRUE,FALSE,"New Model Launch",2.15,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_8.jpg,Electric,CVT,4.8,7-Seater
TataModel_39,382,"Mature Adults",Other,High,Rural,TRUE,FALSE,Festival,4,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_39.jpg,Electric,Manual,3.9,4-Seater
TataModel_15,678,"Early Mid-Age",Male,Medium,Urban,FALSE,FALSE,"No Discount",9.24,Sedan,https://cdn.cars.tatamotors.com/images/sedan/tatamodel_15.jpg,Hybrid,Manual,3.8,8-Seater
TataModel_26,869,"Senior Adults",Female,Medium,Suburban,FALSE,FALSE,"New Model Launch",7.14,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_26.jpg,Petrol,CVT,3.8,5-Seater
TataModel_29,128,"Mature Adults",Male,Medium,Rural,FALSE,TRUE,Clearance,1.61,SUV,https://cdn.cars.tatamotors.com/images/suv/tatamodel_29.jpg,Diesel,Manual,4.1,4-Seater
TataModel_21,608,"Young Adults",Other,High,Urban,FALSE,TRUE,"No Discount",5.07,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_21.jpg,Electric,CVT,3.2,7-Seater
TataModel_23,796,"Young Adults",Other,High,Urban,TRUE,FALSE,Clearance,4.98,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_23.jpg,Hybrid,Manual,4.5,8-Seater
TataModel_5,820,"Early Mid-Age",Male,Low,Rural,FALSE,TRUE,"No Discount",8.55,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_5.jpg,Hybrid,Manual,3.3,8-Seater
TataModel_10,998,"Early Mid-Age",Female,Medium,Suburban,TRUE,FALSE,"New Model Launch",2.65,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_10.jpg,Hybrid,Automatic,3.9,8-Seater
TataModel_35,547,"Mature Adults",Other,High,Urban,FALSE,TRUE,"New Model Launch",4.35,Coupe,https://cdn.cars.tatamotors.com/images/coupe/tatamodel_35.jpg,Electric,Automatic,2.7,4-Seater
TataModel_16,157,"Early Mid-Age",Female,Medium,Suburban,TRUE,TRUE,Festival,6.75,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_16.jpg,Petrol,Automatic,4.7,5-Seater
TataModel_11,701,"Senior Adults",Male,Low,Rural,TRUE,TRUE,Festival,8.7,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_11.jpg,Electric,CVT,2.7,8-Seater
TataModel_44,198,"Senior Adults",Male,Low,Suburban,TRUE,TRUE,"No Discount",1.13,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_44.jpg,Electric,Automatic,4.6,5-Seater
TataModel_11,140,"Young Adults",Female,High,Rural,TRUE,FALSE,Festival,1.69,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_11.jpg,Electric,CVT,2.7,8-Seater
TataModel_46,124,"Senior Adults",Male,Medium,Rural,FALSE,FALSE,Clearance,8.22,SUV,https://cdn.cars.tatamotors.com/images/suv/tatamodel_46.jpg,Petrol,Manual,2.8,4-Seater
TataModel_28,529,"Early Mid-Age",Other,High,Suburban,FALSE,TRUE,"No Discount",9.72,SUV,https://cdn.cars.tatamotors.com/images/suv/tatamodel_28.jpg,Electric,Automatic,4.5,5-Seater
TataModel_14,215,"Early Mid-Age",Other,High,Suburban,TRUE,TRUE,Clearance,6.02,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_14.jpg,Diesel,Manual,2.9,5-Seater
TataModel_28,946,"Mature Adults",Female,High,Urban,TRUE,FALSE,Clearance,4.14,SUV,https://cdn.cars.tatamotors.com/images/suv/tatamodel_28.jpg,Electric,Automatic,4.5,5-Seater
TataModel_30,447,"Senior Adults",Female,Medium,Suburban,FALSE,FALSE,"New Model Launch",2.68,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_30.jpg,Hybrid,CVT,4.3,5-Seater
TataModel_7,352,"Early Mid-Age",Other,Low,Urban,FALSE,FALSE,Festival,5.68,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_7.jpg,Hybrid,CVT,3.9,7-Seater
TataModel_43,234,"Mature Adults",Other,Medium,Urban,TRUE,TRUE,Festival,2.72,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_43.jpg,Hybrid,Automatic,2.6,5-Seater
TataModel_18,289,"Senior Adults",Other,High,Urban,TRUE,FALSE,"New Model Launch",4.54,Coupe,https://cdn.cars.tatamotors.com/images/coupe/tatamodel_18.jpg,Diesel,Automatic,4.2,7-Seater
TataModel_30,943,"Early Mid-Age",Other,Medium,Suburban,FALSE,FALSE,"No Discount",3.92,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_30.jpg,Hybrid,CVT,4.3,5-Seater
TataModel_44,177,"Early Mid-Age",Other,Low,Rural,TRUE,TRUE,Festival,3.59,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_44.jpg,Electric,Automatic,4.6,5-Seater
TataModel_12,490,"Mature Adults",Male,Medium,Urban,TRUE,FALSE,"New Model Launch",8.12,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_12.jpg,Petrol,CVT,4,8-Seater
TataModel_2,547,"Young Adults",Other,High,Suburban,TRUE,FALSE,Festival,5.45,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_2.jpg,Diesel,Manual,3.2,5-Seater
TataModel_4,536,"Senior Adults",Other,Low,Rural,TRUE,TRUE,"No Discount",2.68,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_4.jpg,Diesel,Manual,4.6,8-Seater
TataModel_36,865,"Early Mid-Age",Other,High,Suburban,TRUE,TRUE,"New Model Launch",4.1,Coupe,https://cdn.cars.tatamotors.com/images/coupe/tatamodel_36.jpg,Hybrid,Manual,3.9,4-Seater
TataModel_1,258,"Senior Adults",Female,Medium,Rural,FALSE,TRUE,Clearance,4.35,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_1.jpg,Hybrid,Automatic,4.6,8-Seater
TataModel_21,870,"Senior Adults",Other,High,Rural,TRUE,TRUE,Festival,6.11,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_21.jpg,Electric,CVT,3.2,7-Seater
TataModel_22,773,"Senior Adults",Female,High,Rural,FALSE,TRUE,"No Discount",5.57,SUV,https://cdn.cars.tatamotors.com/images/suv/tatamodel_22.jpg,Electric,CVT,4.5,7-Seater
TataModel_34,797,"Mature Adults",Male,High,Rural,TRUE,TRUE,Clearance,9.37,MPV,https://cdn.cars.tatamotors.com/images/mpv/tatamodel_34.jpg,Hybrid,CVT,3.4,8-Seater
TataModel_37,924,"Senior Adults",Female,Medium,Urban,FALSE,TRUE,Festival,3.27,Coupe,https://cdn.cars.tatamotors.com/images/coupe/tatamodel_37.jpg,Electric,CVT,2.6,5-Seater
TataModel_8,47,"Early Mid-Age",Other,High,Urban,FALSE,TRUE,Clearance,6.24,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_8.jpg,Electric,CVT,4.8,7-Seater
TataModel_12,233,"Early Mid-Age",Male,Medium,Rural,FALSE,TRUE,"New Model Launch",8.14,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_12.jpg,Petrol,CVT,4,8-Seater
TataModel_28,120,"Young Adults",Female,High,Rural,FALSE,FALSE,"New Model Launch",9.32,SUV,https://cdn.cars.tatamotors.com/images/suv/tatamodel_28.jpg,Electric,Automatic,4.5,5-Seater
TataModel_7,645,"Senior Adults",Female,High,Rural,TRUE,TRUE,"No Discount",6.36,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_7.jpg,Hybrid,CVT,3.9,7-Seater
