model_id,year,country,model_price,price_zone,units_sold,total_revenue,revenue_type,revenue_per_unit,profit,profit_per_unit,profit_margin_pct,profit_margin_type,net_profit_usd,local_manufacturing_cost_usd,marketing_expense_usd,warranty_cost_usd,operating_expense_usd,model_performance
TataModel_30,2021,Germany,12172.15,1,5741,354147186.74,High,61687.37,58965506.59,10270.95,16.65,High,21709222.55,10881.23,6696.67,4598.06,75606.37,Star
TataModel_30,2022,Germany,12172.15,1,2210,45249743.92,Low,20475,3900527.93,1764.94,8.62,Low,-2045288.43,20703.07,11527.03,4398.52,26265.95,Weak
TataModel_30,2023,Germany,12172.15,1,5624,348348580.46,High,61939.65,55282919.72,9829.82,15.87,High,11634842.59,5912.77,7611.21,1381.32,62408.84,Star
TataModel_30,2024,Germany,12172.15,1,3225,63762675.27,Low,19771.37,5043627.61,1563.92,7.91,Low,140277.89,16776.89,10531.65,5231.49,69836.51,Weak
TataModel_30,2015,France,12172.15,1,2683,181285095.52,High,67568.06,23893375.59,8905.47,13.18,Low,6435620.89,4115.51,13793.34,7527.02,27251.47,Underperformer
TataModel_30,2016,France,12172.15,1,381,12226722.99,Low,32091.14,2471020.72,6485.62,20.21,High,515967.71,18699.59,5954.5,2608.08,45863.68,Niche
TataModel_30,2017,France,12172.15,1,3493,227158804.38,High,65032.58,66784688.49,19119.58,29.4,High,26872886.56,16292.68,7226.83,6141.35,32740.83,Star
TataModel_30,2018,France,12172.15,1,2482,156043862.83,High,62870.21,19146581.97,7714.17,12.27,Low,-3183294.8,7397.8,10075.78,808.67,80885.72,Underperformer
TataModel_30,2019,France,12172.15,1,1126,71379650.47,Low,63392.23,15339486.89,13622.99,21.49,High,10942500.42,3104.31,8502.26,2476.98,85796.69,Niche
TataModel_30,2020,France,12172.15,1,6946,183575230.5,High,26428.91,26838698.7,3863.91,14.62,Low,91787.62,11262.48,7075.96,1235.84,13293.1,Underperformer
TataModel_30,2021,France,12172.15,1,6833,134436608.85,High,19674.61,19291653.37,2823.31,14.35,Low,-793175.99,22854.46,13126.32,5059.29,96938.23,Underperformer
TataModel_30,2022,France,12172.15,1,6608,381314144.26,High,57704.92,91095949.06,13785.71,23.89,High,44804411.95,14722.2,10716.3,4068.1,15114.75,Star
TataModel_30,2023,France,12172.15,1,2186,70375715.48,Low,32193.83,6861632.26,3138.9,9.75,Low,-5390779.81,13219.5,14611.96,7501.92,14005.52,Weak
TataModel_30,2024,France,12172.15,1,5551,269195584.26,High,48494.97,52089345.55,9383.78,19.35,High,32384228.79,10815.96,11729.69,5205.71,95197.94,Star
TataModel_30,2015,Australia,12172.15,1,6855,245376977.11,High,35795.33,28071126.18,4094.99,11.44,Low,-1251422.58,23348.05,6831.38,3526.85,87734.7,Underperformer
TataModel_30,2016,Australia,12172.15,1,1473,56489332.7,Low,38349.85,16444044.75,11163.64,29.11,High,6264667,24264.68,4585.29,6406.21,82466.94,Niche
TataModel_30,2017,Australia,12172.15,1,4599,281636729.17,High,61238.69,31064531.23,6754.63,11.03,Low,-20474990.21,11915.37,6629.46,5971.7,30059.5,Underperformer
TataModel_30,2018,Australia,12172.15,1,4118,32993370.58,Low,8011.99,2672463.02,648.97,8.1,Low,-3180560.92,10550.66,10284.06,5331.03,25112.16,Weak
TataModel_30,2019,Australia,12172.15,1,2019,56515196.49,Low,27991.68,4962034.25,2457.67,8.78,Low,791212.75,21139.01,3403.01,940.16,39219.08,Weak
TataModel_30,2020,Australia,12172.15,1,5737,124243544.62,Low,21656.54,11703741.9,2040.05,9.42,Low,-3267605.22,7055.99,5722.46,3150.54,43363.83,Weak
TataModel_30,2021,Australia,12172.15,1,1706,37084301.85,Low,21737.57,3930936,2304.18,10.6,Low,-1435162.48,4460.93,1196.65,6301.81,45128.72,Weak
TataModel_30,2022,Australia,12172.15,1,5315,28359056.17,Low,5335.66,4900444.91,922,17.28,High,-323293.24,5154.47,9682.18,3614.04,14321.85,Niche
TataModel_30,2023,Australia,12172.15,1,6743,420805511.66,High,62406.27,40481490.22,6003.48,9.62,Low,16032689.99,19004.48,14452.72,1253.56,39263.71,Underperformer
TataModel_30,2024,Australia,12172.15,1,1865,117098034.4,Low,62787.15,14110313.14,7565.85,12.05,Low,6182776.22,5073.09,2467.78,3645.06,36449.23,Weak
TataModel_30,2015,Japan,12172.15,1,5478,203018846.08,High,37060.76,27793280.03,5073.62,13.69,Low,-12079621.34,3895.83,10552.1,3494.96,84386.75,Underperformer
TataModel_30,2016,Japan,12172.15,1,2345,46961209.54,Low,20026.1,6006338.7,2561.34,12.79,Low,3301373.03,10736.07,3422.94,6359.44,97986.15,Weak
TataModel_30,2017,Japan,12172.15,1,4125,33389875.74,Low,8094.52,9369199.13,2271.32,28.06,High,7228908.1,19699.36,7077.34,5118.24,86716.27,Niche
TataModel_30,2018,Japan,12172.15,1,1711,20298309.38,Low,11863.42,3067074.55,1792.56,15.11,High,393787.2,8509.61,1930.14,5368.11,53518.47,Niche
TataModel_30,2019,Japan,12172.15,1,5496,88610415.59,Low,16122.71,25847658.23,4702.99,29.17,High,14346026.28,17722.8,8552.57,6368.52,65465.81,Niche
TataModel_30,2020,Japan,12172.15,1,1631,103523959.83,Low,63472.69,23003023.87,14103.63,22.22,High,16398195.24,19422.14,7053.95,2964.21,82076.37,Niche
TataModel_30,2021,Japan,12172.15,1,3815,40122943.54,Low,10517.15,11595530.68,3039.46,28.9,High,9340621.26,6652.71,11212.59,7878.59,73017.03,Niche
TataModel_30,2022,Japan,12172.15,1,272,17600449.75,Low,64707.54,4650038.82,17095.73,26.42,High,2826632.23,24061.54,3696.21,1467.63,33164.08,Niche
TataModel_30,2023,Japan,12172.15,1,2735,65886063.03,Low,24089.97,6127403.86,2240.37,9.3,Low,-4078347.3,17915.15,11376.63,1937.87,60591.99,Weak
TataModel_30,2024,Japan,12172.15,1,1518,57221080.56,Low,37695.05,15958959.37,10513.15,27.89,High,12497083.99,21004.74,11424.34,5267.67,33478.07,Niche
TataModel_8,2015,India,12519.85,1,2311,50777770.2,Low,21972.21,13593209.08,5881.96,26.77,High,8393565.41,23133.51,13320.81,5642.16,10978.59,Niche
TataModel_8,2016,India,12519.85,1,4371,226541679.94,High,51828.34,50632065.47,11583.63,22.35,High,10670113.13,16779.67,8001.58,2829.93,26700.63,Star
TataModel_8,2017,India,12519.85,1,1685,81721686.42,Low,48499.52,23552190.03,13977.56,28.82,High,10721885.26,11753.47,8434.11,3969.4,64423.29,Niche
TataModel_8,2018,India,12519.85,1,5846,249219904.82,High,42630.84,24523238.63,4194.87,9.84,Low,8299022.83,17478.74,8002.18,5611.66,40441.44,Underperformer
TataModel_8,2019,India,12519.85,1,3588,55459235.4,Low,15456.87,8191329.07,2282.98,14.77,Low,4164988.58,6503.87,6517.69,2086.14,61667.9,Weak
TataModel_8,2020,India,12519.85,1,3039,191913309.83,High,63150.15,24008355.06,7900.08,12.51,Low,-7158366.46,17244,10340.78,4936.58,42963.4,Underperformer
TataModel_8,2021,India,12519.85,1,3195,184576397.48,High,57770.39,38078110.8,11918.03,20.63,High,6755496.15,11715.66,9675.84,5819.54,13282.59,Star
TataModel_8,2022,India,12519.85,1,4665,281350544.14,High,60310.94,35872194.38,7689.65,12.75,Low,-872186.69,19412.72,10429.4,4531.24,35748.94,Underperformer
TataModel_8,2023,India,12519.85,1,5111,93026403.74,Low,18201.21,22065862.97,4317.33,23.72,High,17014529.24,6727.09,8413.42,1009.4,75526.92,Niche
TataModel_8,2024,India,12519.85,1,523,28603242.32,Low,54690.71,4370575.43,8356.74,15.28,High,2788816.13,4773.8,6015.73,3512.8,43392.1,Niche
TataModel_8,2015,USA,12519.85,1,2795,156128656.7,High,55859.98,10819715.91,3871.1,6.93,Low,-3247476.06,9808.62,7858.27,2592.36,30804.25,Underperformer
TataModel_8,2016,USA,12519.85,1,3882,241637695.13,High,62245.67,42914854.66,11054.83,17.76,High,13676693.54,3670.29,2014.37,6323.72,27051.44,Star
TataModel_8,2017,USA,12519.85,1,4227,202368432.98,High,47875.19,53647871.58,12691.71,26.51,High,21309395.99,17008.21,2479.93,6089.12,28349.43,Star
TataModel_8,2018,USA,12519.85,1,4485,120209861.66,Low,26802.64,13667861.27,3047.46,11.37,Low,-3245666.26,9645.72,4942.22,4674.4,45203.14,Weak
TataModel_8,2019,USA,12519.85,1,6894,236190974.9,High,34260.37,20737567.6,3008.06,8.78,Low,-13722695.64,23604.45,11369.96,6921.02,51321.58,Underperformer
TataModel_8,2020,USA,12519.85,1,1145,74215863.93,Low,64817.35,12037813.13,10513.37,16.22,High,2397172.41,10199.18,13257.66,7673.96,68590.17,Niche
TataModel_8,2021,USA,12519.85,1,5311,265122625.35,High,49919.53,52335206.24,9854.12,19.74,High,8351362.7,3059.43,13883.49,3415.57,13029.62,Star
TataModel_8,2022,USA,12519.85,1,6424,372735282.07,High,58022.3,52965683.58,8244.97,14.21,Low,28775163.78,4656.44,2418.74,7750.77,94858.63,Underperformer
TataModel_8,2023,USA,12519.85,1,5434,106664547.12,Low,19629.1,17962309.73,3305.54,16.84,High,11157111.63,12595.3,4750.49,2403.38,92832.54,Niche
TataModel_8,2024,USA,12519.85,1,1123,54875142.81,Low,48864.78,13823048.47,12309.04,25.19,High,4757674.88,5451.61,7756.64,2549.08,53187.19,Niche
TataModel_8,2015,UK,12519.85,1,2465,74302320.47,Low,30142.93,22216393.82,9012.74,29.9,High,8128673.86,10274.83,10913.46,2237.22,29864.8,Niche
TataModel_8,2016,UK,12519.85,1,2922,40134510.22,Low,13735.29,5887732.65,2014.97,14.67,Low,-1978631.35,10297.91,8238.07,3149,46641.89,Weak
TataModel_8,2017,UK,12519.85,1,4315,265778393.33,High,61594.07,45182326.87,10470.99,17,High,-903646.54,18441.22,5335.69,927.9,48827.53,Star
TataModel_8,2018,UK,12519.85,1,3331,107613628.94,Low,32306.7,31240236.48,9378.64,29.03,High,16368032.96,22957.39,5302.71,776.5,14449,Niche
TataModel_8,2019,UK,12519.85,1,2902,147492523.35,High,50824.44,42359852.71,14596.78,28.72,High,23746296.26,15520.7,3672.28,7734.82,75997.87,Star
TataModel_8,2020,UK,12519.85,1,6979,58600155.47,Low,8396.64,13132294.84,1881.69,22.41,High,4605972.22,12917.64,3342.08,1426.46,77810.71,Niche
TataModel_8,2021,UK,12519.85,1,6234,374875244.03,High,60133.98,102340941.62,16416.58,27.3,High,65790605.33,11806.68,10264.31,2172.47,35342.5,Star
TataModel_8,2022,UK,12519.85,1,3463,133926273.93,Low,38673.48,9160557.14,2645.27,6.84,Low,-15147061.58,21471.44,13249.02,2742.14,84194.74,Weak
TataModel_8,2023,UK,12519.85,1,980,60655987.01,Low,61893.86,12100869.41,12347.83,19.95,High,4470346.24,5318.82,5865.71,2584.15,49547.61,Niche
TataModel_8,2024,UK,12519.85,1,1430,46121108.73,Low,32252.52,6650663.88,4650.81,14.42,Low,2329115.99,4758.46,14049.75,1498.37,86868.24,Weak
TataModel_8,2015,Germany,12519.85,1,1636,13618296.25,Low,8324.14,2902058.93,1773.87,21.31,High,844334.37,16980.29,2267.36,5195.28,64369.96,Niche
TataModel_8,2016,Germany,12519.85,1,4859,207749136.5,High,42755.53,27859159.2,5733.52,13.41,Low,5692326.34,4044.32,3217.19,4822.43,82324.78,Underperformer
TataModel_8,2017,Germany,12519.85,1,3041,170497447.01,High,56066.24,25523467.82,8393.12,14.97,Low,4484082.86,21006.23,14805.62,5727.27,19272.09,Underperformer
TataModel_8,2018,Germany,12519.85,1,2556,114096336.67,Low,44638.63,26379073.04,10320.45,23.12,High,4392708.96,5761.02,6539.25,6887.22,25397.49,Niche
TataModel_8,2019,Germany,12519.85,1,3046,119154773.84,Low,39118.44,24081179.79,7905.84,20.21,High,7661651.96,9330.73,5008.75,3472.1,14458.58,Niche
TataModel_8,2020,Germany,12519.85,1,421,21245201.49,Low,50463.66,4363764.39,10365.24,20.54,High,1918441.69,18102.84,8900.65,3678.52,41081.74,Niche
TataModel_8,2021,Germany,12519.85,1,3295,161457503.07,High,49000.76,26737362.51,8114.53,16.56,High,2438008.3,23433.03,9461.91,5325.3,13606.55,Star
TataModel_8,2022,Germany,12519.85,1,4413,198831897.19,High,45055.95,24973286.29,5659.03,12.56,Low,-1531005.61,19412.79,7634.7,5195.91,83531.8,Underperformer
TataModel_8,2023,Germany,12519.85,1,518,31289818.73,Low,60405.06,1614554.65,3116.9,5.16,Low,-3917485.31,21595.66,10390.84,1061.19,85856.2,Weak
TataModel_8,2024,Germany,12519.85,1,5631,159028182.1,High,28241.55,28275210.78,5021.35,17.78,High,4786748.28,16547.71,4455.54,6717.58,73314.7,Star
TataModel_8,2015,France,12519.85,1,2117,60787790.38,Low,28714.12,14558675.8,6877.03,23.95,High,9428186.29,3652.46,11468.04,602.39,56428.92,Niche
TataModel_8,2016,France,12519.85,1,4437,111224671.78,Low,25067.54,26460349.42,5963.57,23.79,High,15827270.79,7196.4,8962.2,4308.95,63452.48,Niche
TataModel_8,2017,France,12519.85,1,5006,126450961.52,Low,25259.88,29678040.67,5928.49,23.47,High,17209975.86,23238.82,9618.61,7269.03,55217.08,Niche
TataModel_8,2018,France,12519.85,1,6277,246323591.58,High,39242.25,12661032.61,2017.05,5.14,Low,-18400372.29,22603.67,6114.03,6056.4,79563.97,Underperformer
TataModel_8,2019,France,12519.85,1,4965,346418110.18,High,69772.03,65611590.07,13214.82,18.94,High,3117762.99,15927.12,7450.11,3964,82881.58,Star
TataModel_8,2020,France,12519.85,1,5883,343253238.45,High,58346.63,72941313.17,12398.66,21.25,High,26190222.09,8306.05,9641.78,641.54,38065.61,Star
TataModel_8,2021,France,12519.85,1,5336,228617511.49,High,42844.36,23753359.44,4451.53,10.39,Low,-16986281.1,19868.27,1754.57,1449.37,31131.8,Underperformer
TataModel_8,2022,France,12519.85,1,1016,39418768.45,Low,38798,9062374.87,8919.66,22.99,High,2171974.14,9524.55,3724.88,6421.98,98494.8,Niche
TataModel_8,2023,France,12519.85,1,346,21055385.12,Low,60853.71,5350173.36,15462.93,25.41,High,2215026.51,23805.59,2285.45,2921.48,56774.1,Niche
TataModel_8,2024,France,12519.85,1,404,22597509.69,Low,55934.43,3694692.83,9145.28,16.35,High,2187438.94,9967.26,14097.71,7938.96,39447.28,Niche
TataModel_8,2015,Australia,12519.85,1,1677,43434529.32,Low,25900.14,10867319.24,6480.21,25.02,High,5885378.72,12016.17,10655.12,3494.37,52496.12,Niche
TataModel_8,2016,Australia,12519.85,1,6122,408026109.1,High,66649.15,24971197.88,4078.93,6.12,Low,-21135752.45,7287.36,1122.07,3099.71,14962.1,Underperformer
TataModel_8,2017,Australia,12519.85,1,6628,340782591.71,High,51415.6,94021917.05,14185.56,27.59,High,45221849.92,5597.81,10060.9,7731.07,15547.31,Star
TataModel_8,2018,Australia,12519.85,1,4110,39347570.68,Low,9573.62,4383319.37,1066.5,11.14,Low,-2376593.27,24037.19,13364.76,789.97,71142.33,Weak
TataModel_8,2019,Australia,12519.85,1,6323,210315591.02,High,33261.99,55123716.41,8717.97,26.21,High,32262411.66,4373.06,5786.53,7951.07,24148.82,Star
TataModel_8,2020,Australia,12519.85,1,4580,56682928.86,Low,12376.19,15995922.53,3492.56,28.22,High,8241697.86,6798.14,4495.88,564.02,87779.2,Niche
TataModel_8,2021,Australia,12519.85,1,5761,88408038.8,Low,15345.95,19829923.1,3442.1,22.43,High,2484265.89,10177.96,6296.82,3262.52,70133.35,Niche
TataModel_8,2022,Australia,12519.85,1,6543,181435128.19,High,27729.65,40822903.84,6239.17,22.5,High,27178982.2,5870.82,6758.69,6270.66,20239.05,Star
TataModel_8,2023,Australia,12519.85,1,167,6577823.5,Low,39388.16,1303724.62,7806.73,19.82,High,327575.61,17199.39,12775.25,2953.79,61372.12,Niche
TataModel_8,2024,Australia,12519.85,1,3988,210312217.2,High,52736.26,21241533.94,5326.36,10.1,Low,-14048856.11,10026.75,8413.07,4715.62,93015.19,Underperformer
TataModel_8,2015,Japan,12519.85,1,5570,311822604.56,High,55982.51,73995504.06,13284.65,23.73,High,36171422.13,3623.62,8807.96,2095.75,63515.51,Star
TataModel_8,2016,Japan,12519.85,1,4647,88273574.71,Low,18995.82,25202105.58,5423.31,28.55,High,17389894.22,16538.91,2322.76,6199.92,41203.15,Niche
TataModel_8,2017,Japan,12519.85,1,1458,90594705.32,Low,62136.29,26236226.66,17994.67,28.96,High,14015000.91,16113.37,13724.18,801.98,81914.52,Niche
TataModel_8,2018,Japan,12519.85,1,6905,261733551.06,High,37904.93,55461339.47,8032.05,21.19,High,10783422.3,10932.76,3840,4103.79,26636.89,Star
TataModel_8,2019,Japan,12519.85,1,5787,68218013.03,Low,11788.15,6132799.37,1059.75,8.99,Low,-511635.1,12983.92,7557.93,4139.84,20408.98,Weak
TataModel_8,2020,Japan,12519.85,1,1650,70298080.31,Low,42604.9,9904999.52,6003.03,14.09,Low,492086.56,6800.33,10638.03,4600.45,97940.47,Weak
TataModel_8,2021,Japan,12519.85,1,3222,175630815.21,High,54509.87,12329283.23,3826.59,7.02,Low,-5725564.58,7817.02,4033.83,6418.59,49412.59,Underperformer
TataModel_8,2022,Japan,12519.85,1,227,9637335.16,Low,42455.22,1524626.42,6716.42,15.82,High,968552.18,18567.17,11798.69,4483.8,79035.55,Niche
TataModel_8,2023,Japan,12519.85,1,3282,176942280.81,High,53912.94,30221741.56,9208.33,17.08,High,-3131878.37,6369.01,13562.63,6528.46,52062.07,Star
TataModel_8,2024,Japan,12519.85,1,5848,123653654.47,Low,21144.61,23160329.48,3960.38,18.73,High,24730.73,20448.02,3068.21,4869.78,89617.23,Niche
TataModel_22,2015,India,13292.69,1,3419,29904459.46,Low,8746.55,3077168.88,900.02,10.29,Low,-77751.59,22379.1,1813.62,7367.62,78922.69,Weak
TataModel_22,2016,India,13292.69,1,6986,93762212.47,Low,13421.44,5766376.07,825.42,6.15,Low,-2372183.98,20391.48,6051.95,6548.76,20210.24,Weak
TataModel_22,2017,India,13292.69,1,6209,411757334.92,High,66316.21,54722549.81,8813.42,13.29,Low,28823013.44,19264.67,7988.97,5278.78,26261.27,Underperformer
TataModel_22,2018,India,13292.69,1,2390,30182093.62,Low,12628.49,6582714.62,2754.27,21.81,High,2145946.86,16577.59,3261.64,3196.94,21456.2,Niche
TataModel_22,2019,India,13292.69,1,3285,78106508.21,Low,23776.71,16808520.57,5116.75,21.52,High,5069112.38,5086.59,12974.01,6011.62,64978.61,Niche
TataModel_22,2020,India,13292.69,1,4207,56374452.86,Low,13400.16,11618774.73,2761.77,20.61,High,4244996.3,16674.67,5459.32,2619.18,41284.06,Niche
TataModel_22,2021,India,13292.69,1,3939,263964237.96,High,67013.01,59787899.9,15178.45,22.65,High,24522277.71,8718.2,13653.87,7807.48,72010.77,Star
TataModel_22,2022,India,13292.69,1,1658,76866238.95,Low,46360.82,16887512.7,10185.47,21.97,High,1752550.25,9827.48,9555.2,4584.47,63062.14,Niche
TataModel_22,2023,India,13292.69,1,2588,38307551.62,Low,14801.99,6339899.79,2449.73,16.55,High,2436360.28,18958.59,11488.78,1711.57,81311.58,Niche
TataModel_22,2024,India,13292.69,1,6913,390443486.86,High,56479.6,22489544.84,3253.23,5.76,Low,-54935398.6,4132.15,3929.34,3131.45,11930.18,Underperformer
TataModel_22,2015,USA,13292.69,1,819,19183432.87,Low,23422.99,993701.82,1213.31,5.18,Low,-721297.08,18949.14,10141.31,2277.6,33853.97,Weak
TataModel_22,2016,USA,13292.69,1,2843,160098873.14,High,56313.36,32676180.01,11493.56,20.41,High,15801758.78,22444.1,3764.2,3131.71,25689.06,Star
TataModel_22,2017,USA,13292.69,1,5632,337271656.77,High,59884.88,27588821.52,4898.58,8.18,Low,-35885704.28,21762.07,8321.18,7091.49,32036.84,Underperformer
TataModel_22,2018,USA,13292.69,1,1124,55680332.87,Low,49537.66,10935617.38,9729.2,19.64,High,5245087.36,4974.94,10500.73,5475.89,50839.1,Niche
TataModel_22,2019,USA,13292.69,1,1368,78231218.16,Low,57186.56,20113246.19,14702.67,25.71,High,6563599.2,19106.19,2802.08,7367.4,32986.31,Niche
TataModel_22,2020,USA,13292.69,1,4646,252695055.71,High,54389.81,26356094.31,5672.86,10.43,Low,-10739539.87,14213.98,11040.57,2770.02,59324.53,Underperformer
TataModel_22,2021,USA,13292.69,1,1245,36825682.02,Low,29578.86,2931324.29,2354.48,7.96,Low,-4135524.09,18880.62,8103.24,4085.82,56099.2,Weak
TataModel_22,2022,USA,13292.69,1,3297,137474364.82,High,41696.8,14641019.85,4440.71,10.65,Low,7616079.81,8440.81,6239.32,6259.41,35482.71,Underperformer
TataModel_22,2023,USA,13292.69,1,2963,127489899.98,Low,43027.3,36462111.39,12305.81,28.6,High,26747381.01,17003.21,6679.22,622.67,34632.91,Niche
TataModel_22,2024,USA,13292.69,1,6601,288927263.5,High,43770.23,25570062.82,3873.67,8.85,Low,-21814008.39,19730.29,8857.85,4481.04,15427.74,Underperformer
TataModel_22,2015,UK,13292.69,1,5476,30999638.73,Low,5661,8376102.38,1529.6,27.02,High,5468336.27,8516.03,14123.13,3944.79,73756.6,Niche
TataModel_22,2016,UK,13292.69,1,6159,272062696.62,High,44173.19,50413217.68,8185.29,18.53,High,11725902.22,18500.05,13617.5,3646.19,51323,Star
TataModel_22,2017,UK,13292.69,1,4560,297995964.08,High,65349.99,39842060.4,8737.29,13.37,Low,-12784026.86,24781.35,10158.94,1655.22,32415.29,Underperformer
